Model,Interaction_Term,Score
Random Forest,PolygenicScoreEXT_x_Age,0.8230519296652942
Random Forest,PolygenicScoreEXT_x_DelinquentPeer,0.8223000933040812
Random Forest,PolygenicScoreEXT_x_SchoolConnect,0.8207433057023564
Random Forest,PolygenicScoreEXT_x_NeighborConnect,0.822676076329223
Random Forest,PolygenicScoreEXT_x_ParentalWarmth,0.821924297607597
Random Forest,PolygenicScoreEXT_x_Is_Male,0.8206895135579115
Random Forest,Age_x_DelinquentPeer,0.8239106298205607
Random Forest,Age_x_SchoolConnect,0.8246089478253664
Random Forest,Age_x_NeighborConnect,0.8212802616837245
Random Forest,Age_x_ParentalWarmth,0.8249843112249493
Random Forest,Age_x_Is_Male,0.8219243120174937
Random Forest,DelinquentPeer_x_SchoolConnect,0.8214947674062547
Random Forest,DelinquentPeer_x_NeighborConnect,0.8212804922420718
Random Forest,DelinquentPeer_x_ParentalWarmth,0.8231054624315981
Random Forest,DelinquentPeer_x_Is_Male,0.8206359519718143
Random Forest,SchoolConnect_x_NeighborConnect,0.8235889144664557
Random Forest,SchoolConnect_x_ParentalWarmth,0.8233735873798125
Random Forest,SchoolConnect_x_Is_Male,0.8250922413513602
Random Forest,NeighborConnect_x_ParentalWarmth,0.8255215121745614
Random Forest,NeighborConnect_x_Is_Male,0.8226225867926094
Random Forest,ParentalWarmth_x_Is_Male,0.8257360755366786
Gradient Boosting,PolygenicScoreEXT_x_Age,0.8090944316556611
Gradient Boosting,PolygenicScoreEXT_x_DelinquentPeer,0.8073227348542978
Gradient Boosting,PolygenicScoreEXT_x_SchoolConnect,0.8057124000763725
Gradient Boosting,PolygenicScoreEXT_x_NeighborConnect,0.808450021074474
Gradient Boosting,PolygenicScoreEXT_x_ParentalWarmth,0.8068399024449991
Gradient Boosting,PolygenicScoreEXT_x_Is_Male,0.8094163487483204
Gradient Boosting,Age_x_DelinquentPeer,0.8095776819519646
Gradient Boosting,Age_x_SchoolConnect,0.8060882245926504
Gradient Boosting,Age_x_NeighborConnect,0.8083428402626925
Gradient Boosting,Age_x_ParentalWarmth,0.8059268049296258
Gradient Boosting,Age_x_Is_Male,0.8047988126245105
Gradient Boosting,DelinquentPeer_x_SchoolConnect,0.8061417573589541
Gradient Boosting,DelinquentPeer_x_NeighborConnect,0.8067858941521038
Gradient Boosting,DelinquentPeer_x_ParentalWarmth,0.8046385457532234
Gradient Boosting,DelinquentPeer_x_Is_Male,0.8054438284213598
Gradient Boosting,SchoolConnect_x_NeighborConnect,0.8078060572000851
Gradient Boosting,SchoolConnect_x_ParentalWarmth,0.8065174233663681
Gradient Boosting,SchoolConnect_x_Is_Male,0.8090407403804931
Gradient Boosting,NeighborConnect_x_ParentalWarmth,0.8077524667941944
Gradient Boosting,NeighborConnect_x_Is_Male,0.8075911912301368
Gradient Boosting,ParentalWarmth_x_Is_Male,0.8037256499764037
Logistic Regression,PolygenicScoreEXT_x_Age,0.7340423578913999
Logistic Regression,PolygenicScoreEXT_x_DelinquentPeer,0.7309283359811518
Logistic Regression,PolygenicScoreEXT_x_SchoolConnect,0.7284587822916778
Logistic Regression,PolygenicScoreEXT_x_NeighborConnect,0.7296400479849561
Logistic Regression,PolygenicScoreEXT_x_ParentalWarmth,0.7299083314420344
Logistic Regression,PolygenicScoreEXT_x_Is_Male,0.7273313087428446
Logistic Regression,Age_x_DelinquentPeer,0.7289420181780847
