,count,mean,std,min,25%,50%,75%,max
ID,20745.0,93774258.22106531,8371207.532036439,10316654.0,92500982.0,94579262.0,97573113.0,99886999.0
FamilyID,9974.0,66456946.358632445,43294113.045524105,1002.0,3374.0,92578982.5,96573005.5,99723907.0
Race,20704.0,1.883597372488408,1.3131129232956482,1.0,1.0,1.0,2.0,5.0
PolygenicScoreEXT,9974.0,3.081108213517579e-17,1.0,-3.85044940302682,-0.6560088054180611,-0.0014280787556586,0.6598742618616623,4.22743592007065
Sex,20743.0,0.005230680229475004,0.49998469127056533,-0.5,-0.5,0.5,0.5,0.5
Age,20728.0,-1.4945804360835763e-16,1.0,-2.75980053464038,-0.77275181874105,0.0511464293147689,0.826580074543775,3.05595180457717
DelinquentPeer,20610.0,-1.7030961254997064e-16,0.9999999999999998,-6.12378667788966,-0.601223586343054,0.320401203185128,0.959070432206023,1.08515238518508
SchoolConnect,20653.0,9.839501400638583e-17,1.0000000000000002,-3.66410351266446,-0.651928665239265,0.0378208411328513,0.701661771634837,2.10804435460083
NeighborConnect,20642.0,-3.4215651552443543e-16,0.9999999999999997,-4.2328537407324,-0.63655511275336,0.254540790922995,0.755621634353614,1.94865263917326
ParentalWarmth,20300.0,2.8001684167885723e-18,1.0,-6.32891042049946,-0.337653540875699,0.172520826992973,0.899788857130605,0.976551682155445
AntisocialTrajectory,20639.0,3.629197151024759,0.7680775382711125,1.0,4.0,4.0,4.0,4.0
SubstanceUseTrajectory,20639.0,2.078298367168952,0.8611149950645504,1.0,1.0,2.0,3.0,3.0
