,Without Interaction Terms,With Interaction Terms,Aggregated Differences
PolygenicScoreEXT x Age (1_vs_4),,,-0.0005941770647652778
PolygenicScoreEXT x Age (2_vs_4),,,0.000526315789473597
PolygenicScoreEXT x Age (3_vs_4),,,0.0
PolygenicScoreEXT x DelinquentPeer (1_vs_4),,,-0.0005941770647652778
PolygenicScoreEXT x DelinquentPeer (2_vs_4),,,0.002105263157894721
PolygenicScoreEXT x DelinquentPeer (3_vs_4),,,-0.0005589714924538747
PolygenicScoreEXT x SchoolConnect (1_vs_4),,,-0.0011883541295305555
PolygenicScoreEXT x SchoolConnect (2_vs_4),,,0.0
PolygenicScoreEXT x SchoolConnect (3_vs_4),,,-0.004471771939630997
PolygenicScoreEXT x NeighborConnect (1_vs_4),,,0.0011883541295306665
PolygenicScoreEXT x NeighborConnect (2_vs_4),,,-0.001052631578947416
PolygenicScoreEXT x NeighborConnect (3_vs_4),,,-0.0005589714924538747
PolygenicScoreEXT x ParentalWarmth (1_vs_4),,,-0.0005941770647652778
PolygenicScoreEXT x ParentalWarmth (2_vs_4),,,0.000526315789473597
PolygenicScoreEXT x ParentalWarmth (3_vs_4),,,-0.001676914477361624
PolygenicScoreEXT x Is_Male (1_vs_4),,,0.0
PolygenicScoreEXT x Is_Male (2_vs_4),,,0.000526315789473597
PolygenicScoreEXT x Is_Male (3_vs_4),,,-0.001676914477361624
PolygenicScoreEXT x SubstanceUseTrajectory (1_vs_4),,,0.0017825311942959443
PolygenicScoreEXT x SubstanceUseTrajectory (2_vs_4),,,0.0031578947368420263
PolygenicScoreEXT x SubstanceUseTrajectory (3_vs_4),,,0.0005589714924538747
