From,To,Weight,P-value
DelinquentPeer,PolygenicScoreEXT,-0.16,2.8159762626012748e-36
DelinquentPeer,Age,-0.28,0.0
DelinquentPeer,SchoolConnect,0.19,2.233233723633881e-252
DelinquentPeer,NeighborConnect,-0.01,0.04875228217410978
DelinquentPeer,ParentalWarmth,0.11,4.994158551675619e-93
DelinquentPeer,Is_Male,-0.01,0.008317718361365195
DelinquentPeer,SubstanceUseTrajectory,0.23,0.0
DelinquentPeer,PolygenicScoreEXT_x_Is_Male,0.01,0.00249343931428975
DelinquentPeer,PolygenicScoreEXT_x_Age,-0.05,5.7739300901157225e-31
DelinquentPeer,AntisocialTrajectory,0.23,0.0
PolygenicScoreEXT,SchoolConnect,0.03,0.01393734388349207
PolygenicScoreEXT,ParentalWarmth,-0.08,3.8729314809702926e-12
PolygenicScoreEXT,Is_Male,-0.09,2.6013074001896288e-58
PolygenicScoreEXT,SubstanceUseTrajectory,-0.18,1.8358327855089977e-62
PolygenicScoreEXT,PolygenicScoreEXT_x_Is_Male,0.64,0.0
PolygenicScoreEXT,PolygenicScoreEXT_x_Age,-0.16,9.21620238043139e-69
SchoolConnect,NeighborConnect,0.23,0.0
SchoolConnect,ParentalWarmth,0.24,0.0
SchoolConnect,SubstanceUseTrajectory,0.07,3.971479851754346e-40
SchoolConnect,PolygenicScoreEXT_x_Is_Male,-0.02,1.2407366284406079e-11
SchoolConnect,PolygenicScoreEXT_x_Age,0.03,3.6503474178095155e-10
SchoolConnect,AntisocialTrajectory,0.08,2.758978492059239e-38
ParentalWarmth,Age,-0.09,1.4839290940204545e-50
ParentalWarmth,NeighborConnect,0.11,7.962134081589413e-75
ParentalWarmth,Is_Male,0.04,1.7714354848106209e-41
ParentalWarmth,PolygenicScoreEXT_x_Is_Male,0.01,0.0033362742563444567
ParentalWarmth,AntisocialTrajectory,0.03,2.0107759577250024e-06
Is_Male,Age,0.04,1.210999146665574e-58
Is_Male,NeighborConnect,0.03,5.644038813982405e-19
Is_Male,PolygenicScoreEXT_x_Is_Male,0.09,3.6056611013557945e-74
Is_Male,PolygenicScoreEXT_x_Age,-0.06,4.437999444026103e-11
Is_Male,AntisocialTrajectory,-0.75,0.0
SubstanceUseTrajectory,Age,0.06,1.6649973211011748e-36
SubstanceUseTrajectory,NeighborConnect,-0.04,1.6039727848698934e-16
SubstanceUseTrajectory,PolygenicScoreEXT_x_Is_Male,0.01,0.018590764761886494
SubstanceUseTrajectory,PolygenicScoreEXT_x_Age,0.02,0.0039717515498926565
SubstanceUseTrajectory,AntisocialTrajectory,0.26,3.04971163588572e-277
PolygenicScoreEXT_x_Is_Male,Age,-0.02,3.1868302304599583e-17
PolygenicScoreEXT_x_Is_Male,PolygenicScoreEXT_x_Age,0.08,3.93324120827577e-13
PolygenicScoreEXT_x_Is_Male,AntisocialTrajectory,-0.07,2.0382005344754982e-05
PolygenicScoreEXT_x_Age,Age,0.09,1.2847963521616343e-83
PolygenicScoreEXT_x_Age,NeighborConnect,-0.03,1.6132640406446486e-11
PolygenicScoreEXT_x_Age,AntisocialTrajectory,0.06,9.995538702544952e-15
Age,NeighborConnect,-0.10,1.261647834927917e-70
Age,AntisocialTrajectory,0.09,2.7199011382740323e-46
NeighborConnect,AntisocialTrajectory,0.03,1.6263048244516072e-06
