From,To,Weight,P-value
DelinquentPeer,PolygenicScoreEXT,-0.16,2.2608826747537223e-35
DelinquentPeer,Age,-0.21,4.1748846717979714e-156
DelinquentPeer,SchoolConnect,0.19,2.43750058472971e-90
DelinquentPeer,NeighborConnect,-0.02,0.02922973650553306
DelinquentPeer,ParentalWarmth,0.09,2.484297479795662e-24
DelinquentPeer,AntisocialTrajectory,0.15,7.303424007629859e-93
DelinquentPeer,PolygenicScoreEXT_x_Is_Male,0.01,0.041224039525603086
DelinquentPeer,PolygenicScoreEXT_x_Age,-0.04,1.2885357728937606e-05
DelinquentPeer,SubstanceUseTrajectory,0.22,1.2914880839023327e-148
PolygenicScoreEXT,Is_Male,0.02,0.011261834948352903
PolygenicScoreEXT,PolygenicScoreEXT_x_Is_Male,0.46,0.0
PolygenicScoreEXT,PolygenicScoreEXT_x_Age,-0.11,8.850972661203986e-19
PolygenicScoreEXT,SubstanceUseTrajectory,-0.06,1.4428297449294023e-06
Is_Male,Age,0.03,5.223515109917807e-10
Is_Male,NeighborConnect,0.02,0.00040464342621244077
Is_Male,ParentalWarmth,0.03,4.677328623947272e-10
Is_Male,AntisocialTrajectory,-0.30,3.185547826630863e-132
Is_Male,PolygenicScoreEXT_x_Is_Male,-0.05,2.022360106577388e-11
Is_Male,PolygenicScoreEXT_x_Age,-0.03,0.034427729414301604
Is_Male,SubstanceUseTrajectory,-0.03,0.044290568567064904
PolygenicScoreEXT_x_Is_Male,Age,-0.01,0.009401171145072445
PolygenicScoreEXT_x_Is_Male,SchoolConnect,-0.02,3.4534239804142436e-06
PolygenicScoreEXT_x_Is_Male,AntisocialTrajectory,-0.03,4.957985775598331e-07
PolygenicScoreEXT_x_Is_Male,PolygenicScoreEXT_x_Age,0.10,3.322809790671031e-09
PolygenicScoreEXT_x_Age,Age,-0.03,0.0003523358243966896
PolygenicScoreEXT_x_Age,AntisocialTrajectory,0.03,0.0014362876588427337
SubstanceUseTrajectory,Age,0.03,4.027507458549371e-06
SubstanceUseTrajectory,SchoolConnect,0.05,4.751175334017027e-09
SubstanceUseTrajectory,AntisocialTrajectory,0.14,1.678492807160088e-40
Age,NeighborConnect,-0.07,5.0441598741888e-16
Age,ParentalWarmth,-0.08,3.050119502569079e-20
Age,AntisocialTrajectory,0.06,3.866976822196251e-22
NeighborConnect,SchoolConnect,0.24,5.782120956675214e-163
NeighborConnect,ParentalWarmth,0.12,4.228624400366736e-43
ParentalWarmth,SchoolConnect,0.26,6.251810806581129e-199
ParentalWarmth,AntisocialTrajectory,0.04,4.8636941207505084e-08
AntisocialTrajectory,SchoolConnect,0.05,2.4351135775515423e-11
