type,interaction,Model,Target,Accuracy,1.0_Precision,1.0_Recall,1.0_F1-Score,2.0_Precision,2.0_Recall,2.0_F1-Score,3.0_Precision,3.0_Recall,3.0_F1-Score,4.0_Precision,4.0_Recall,4.0_F1-Score,macro avg_Precision,macro avg_Recall,macro avg_F1-Score,weighted avg_Precision,weighted avg_Recall,weighted avg_F1-Score
train_metrics,PolygenicScoreEXT_x_Age,random_forest,AST,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
test_metrics,PolygenicScoreEXT_x_Age,random_forest,AST,0.2098855612369126,0.01981981981981982,0.4342105263157895,0.037909247558874204,0.12509197939661515,0.3359683794466403,0.18230563002680966,0.12430939226519337,0.15734265734265734,0.13888888888888887,0.8515950069348127,0.18956468045693114,0.31010101010101004,0.2802040496041103,0.27927156089050453,0.16730119414389572,0.6960485905845379,0.2098855612369126,0.2773964318352651
train_metrics,PolygenicScoreEXT_x_DelinquentPeer,random_forest,AST,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
test_metrics,PolygenicScoreEXT_x_DelinquentPeer,random_forest,AST,0.1850499147796445,0.022853957636566332,0.5394736842105263,0.04385026737967915,0.12822719449225473,0.29446640316205536,0.17865707434052758,0.10766423357664233,0.2062937062937063,0.14148681055155876,0.8474295190713101,0.15776474220438408,0.26600728787090056,0.2765437261941934,0.299499633967668,0.1575003600356665,0.6920467602309114,0.1850499147796445,0.2424630954878878
train_metrics,PolygenicScoreEXT_x_SchoolConnect,random_forest,AST,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
test_metrics,PolygenicScoreEXT_x_SchoolConnect,random_forest,AST,0.21816411005600195,0.02513227513227513,0.5,0.04785894206549118,0.11703703703703704,0.31225296442687744,0.17025862068965517,0.12474012474012475,0.2097902097902098,0.15645371577574968,0.837696335078534,0.19759184933621488,0.3197601798651012,0.27615144299699274,0.30490875588832556,0.1735828645989993,0.6842232526529927,0.21816411005600195,0.284937211336954
train_metrics,PolygenicScoreEXT_x_NeighborConnect,random_forest,AST,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
test_metrics,PolygenicScoreEXT_x_NeighborConnect,random_forest,AST,0.2101290479668858,0.0215633423180593,0.42105263157894735,0.041025641025641026,0.1271523178807947,0.3794466403162055,0.1904761904761905,0.1506849315068493,0.23076923076923078,0.18232044198895025,0.8488888888888889,0.1769064526088299,0.2927950945324477,0.28707237014864806,0.30204373881830343,0.17665434200580737,0.6960372262931397,0.2101290479668858,0.26783682948583853
train_metrics,PolygenicScoreEXT_x_ParentalWarmth,random_forest,AST,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
test_metrics,PolygenicScoreEXT_x_ParentalWarmth,random_forest,AST,0.22498173849525202,0.02363896848137536,0.4342105263157895,0.04483695652173913,0.12086428089128967,0.35375494071146246,0.1801711122294917,0.12100456621004566,0.1853146853146853,0.14640883977900554,0.8320707070707071,0.20345785736338376,0.32696601339617964,0.27439463066335446,0.29418450242633026,0.17459573048160398,0.6799703466943439,0.22498173849525202,0.2910859598370578
train_metrics,PolygenicScoreEXT_x_Is_Male,random_forest,AST,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
test_metrics,PolygenicScoreEXT_x_Is_Male,random_forest,AST,0.1762843925006087,0.020113851992409868,0.6973684210526315,0.03909996311324235,0.1506849315068493,0.17391304347826086,0.16146788990825686,0.1341991341991342,0.10839160839160839,0.11992263056092843,0.8401826484018264,0.17042297005248533,0.28336755646817247,0.286295141525055,0.2875240107437465,0.15096451001265004,0.6908954902966538,0.1762843925006087,0.2524469776554713
train_metrics,PolygenicScoreEXT_x_Race_1.0,random_forest,AST,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
test_metrics,PolygenicScoreEXT_x_Race_1.0,random_forest,AST,0.22352081811541272,0.023706896551724137,0.5789473684210527,0.04554865424430642,0.13998082454458294,0.2885375494071146,0.1885087153001937,0.1342925659472422,0.1958041958041958,0.1593172119487909,0.8495575221238938,0.20747144180302562,0.33349875930521095,0.28688445229186077,0.31769013885884717,0.1817183351996255,0.6970432211779142,0.22352081811541272,0.29817733422726994
