type,interaction,Model,Target,Accuracy,Custom_Metric,Matthews Correlation Coefficient,1.0_Precision,1.0_Recall,1.0_F1-Score,4.0_Precision,4.0_Recall,4.0_F1-Score,macro avg_Precision,macro avg_Recall,macro avg_F1-Score,weighted avg_Precision,weighted avg_Recall,weighted avg_F1-Score
validation_metrics,PolygenicScoreEXT_x_DelinquentPeer,logistic_regression,AST,0.8638525564803805,0.6649181616755647,0.3025672807684154,0.1245136186770428,0.8888888888888888,0.21843003412969283,0.9971929824561403,0.8633049817739976,0.9254314555519375,0.5608533005665916,0.8760969353314432,0.5719307448408152,0.9785149461326876,0.8638525564803805,0.9102994393978348
test_metrics,PolygenicScoreEXT_x_DelinquentPeer,logistic_regression,AST,0.9637551990493167,0.6898077269128454,0.31929819382903524,0.2727272727272727,0.4166666666666667,0.3296703296703296,0.9871007371007371,0.9757134183363692,0.9813740458015268,0.6299140049140048,0.696190042501518,0.6555221877359282,0.9718200212852619,0.9637551990493167,0.9674338593602179
validation_metrics,PolygenicScoreEXT_x_SchoolConnect,logistic_regression,AST,0.8555291319857312,0.6531568017402474,0.28290859765311505,0.11524163568773234,0.8611111111111112,0.20327868852459013,0.9964614295824487,0.8554070473876063,0.9205622752533507,0.5558515326350905,0.8582590792493587,0.5619204818889704,0.9776006016512895,0.8555291319857312,0.9052101889737814
test_metrics,PolygenicScoreEXT_x_SchoolConnect,logistic_regression,AST,0.9667260843731432,0.7055995082494084,0.35333368116069186,0.3076923076923077,0.4444444444444444,0.3636363636363637,0.987737584304108,0.9781420765027322,0.9829164124466139,0.6477149459982079,0.7112932604735883,0.6732763880414888,0.9731911612749785,0.9667260843731432,0.9696697803865015
validation_metrics,PolygenicScoreEXT_x_NeighborConnect,logistic_regression,AST,0.8579072532699168,0.6600602241597562,0.29548820165381645,0.1198501872659176,0.8888888888888888,0.2112211221122112,0.9971731448763251,0.8572296476306197,0.921920940868997,0.5585116660711213,0.8730592682597542,0.5665710314906041,0.9783957212889443,0.8579072532699168,0.9067097675781265
test_metrics,PolygenicScoreEXT_x_NeighborConnect,logistic_regression,AST,0.964349376114082,0.6914108916534448,0.322640652896496,0.2777777777777778,0.4166666666666667,0.33333333333333337,0.9871086556169429,0.97632058287796,0.9816849816849818,0.6324432166973604,0.6964936247723134,0.6575091575091576,0.9719358026150356,0.964349376114082,0.967816497228262
validation_metrics,PolygenicScoreEXT_x_ParentalWarmth,logistic_regression,AST,0.861474435196195,0.6629584526838588,0.2996907266432758,0.12260536398467432,0.8888888888888888,0.21548821548821548,0.9971850809289233,0.8608748481166464,0.9240299967394848,0.5598952224567988,0.8748818685027676,0.5697591061138502,0.9784663711726851,0.861474435196195,0.9088650121229297
test_metrics,PolygenicScoreEXT_x_ParentalWarmth,logistic_regression,AST,0.9637551990493167,0.6898077269128454,0.31929819382903524,0.2727272727272727,0.4166666666666667,0.3296703296703296,0.9871007371007371,0.9757134183363692,0.9813740458015268,0.6299140049140048,0.696190042501518,0.6555221877359282,0.9718200212852619,0.9637551990493167,0.9674338593602179
validation_metrics,PolygenicScoreEXT_x_SubstanceUseTrajectory,logistic_regression,AST,0.861474435196195,0.6629584526838588,0.2996907266432758,0.12260536398467432,0.8888888888888888,0.21548821548821548,0.9971850809289233,0.8608748481166464,0.9240299967394848,0.5598952224567988,0.8748818685027676,0.5697591061138502,0.9784663711726851,0.861474435196195,0.9088650121229297
test_metrics,PolygenicScoreEXT_x_SubstanceUseTrajectory,logistic_regression,AST,0.9631610219845514,0.6882428421042837,0.31604190727190684,0.26785714285714285,0.4166666666666667,0.32608695652173914,0.9870928088506453,0.9751062537947783,0.981062919975565,0.6274749758538941,0.6958864602307225,0.6535749382486521,0.971708088722442,0.9631610219845514,0.9670527389391195
