type,interaction,Model,Target,Accuracy,Custom_Metric,Matthews Correlation Coefficient,2.0_Precision,2.0_Recall,2.0_F1-Score,4.0_Precision,4.0_Recall,4.0_F1-Score,macro avg_Precision,macro avg_Recall,macro avg_F1-Score,weighted avg_Precision,weighted avg_Recall,weighted avg_F1-Score
train_metrics,PolygenicScoreEXT_x_DelinquentPeer,logistic_regression,AST,0.6863802004251442,0.6080265375917747,0.3728861103769465,0.6816634601154359,0.6993622836319465,0.6903994603912164,0.691348402182385,0.673398117218342,0.6822552111376047,0.6865059311489105,0.6863802004251442,0.6863273357644105,0.6865059311489105,0.6863802004251442,0.6863273357644105
test_metrics,PolygenicScoreEXT_x_DelinquentPeer,logistic_regression,AST,0.7836842105263158,0.5546455798411529,0.16417189654614905,0.25617283950617287,0.32806324110671936,0.2876949740034662,0.8921319796954315,0.8536733454766242,0.872479056779398,0.5741524096008022,0.5908682932916718,0.5800870153914321,0.8074489994491775,0.7836842105263158,0.7946104394413396
train_metrics,PolygenicScoreEXT_x_SchoolConnect,logistic_regression,AST,0.6842544791982994,0.6053505743422188,0.36858871317390685,0.680499776885319,0.6946553294867902,0.6875046960703284,0.6881687083268724,0.6738536289098087,0.6809359416954354,0.6843342426060957,0.6842544791982994,0.6842203188828819,0.6843342426060958,0.6842544791982994,0.6842203188828819
test_metrics,PolygenicScoreEXT_x_SchoolConnect,logistic_regression,AST,0.7821052631578947,0.5554938256517024,0.16715022577827768,0.256797583081571,0.3359683794466403,0.2910958904109589,0.892925430210325,0.8506375227686703,0.8712686567164178,0.574861506645948,0.5933029511076553,0.5811822735636883,0.8082199853031803,0.7821052631578947,0.794014072571533
train_metrics,PolygenicScoreEXT_x_NeighborConnect,logistic_regression,AST,0.6840267233525661,0.6050582817585287,0.3681145561141656,0.6807336713390993,0.693136957181901,0.6868793259103221,0.6874420043303433,0.6749164895232311,0.681121667177444,0.6840878378347213,0.6840267233525661,0.6840004965438831,0.6840878378347214,0.6840267233525661,0.6840004965438831
test_metrics,PolygenicScoreEXT_x_NeighborConnect,logistic_regression,AST,0.7794736842105263,0.5494568352354178,0.15562684215618877,0.24848484848484848,0.3241106719367589,0.28130360205831906,0.8910828025477707,0.8494231936854888,0.8697544295927883,0.5697838255163096,0.5867669328111238,0.5755290158255537,0.8055158118225499,0.7794736842105263,0.7913975562421457
train_metrics,PolygenicScoreEXT_x_ParentalWarmth,logistic_regression,AST,0.6856969328879441,0.6071647606822803,0.37150078676423653,0.6813463819691578,0.6976920740965685,0.6894223555888972,0.690261356565028,0.6737017916793198,0.6818810511756569,0.6858038692670929,0.6856969328879441,0.6856517033822771,0.6858038692670929,0.6856969328879441,0.685651703382277
test_metrics,PolygenicScoreEXT_x_ParentalWarmth,logistic_regression,AST,0.7789473684210526,0.5525012409911377,0.1627330227765353,0.2522255192878338,0.3359683794466403,0.288135593220339,0.8925143953934741,0.8469945355191257,0.869158878504673,0.572369957340654,0.591481457482883,0.578647235862506,0.8072548766278284,0.7789473684210526,0.7917910410431274
train_metrics,PolygenicScoreEXT_x_SubstanceUseTrajectory,logistic_regression,AST,0.6839508047373216,0.6049709188270779,0.3679812328060883,0.6802022906440577,0.6943516550258123,0.6872041475693139,0.6878585827260041,0.6735499544488308,0.6806290755657844,0.6840304366850309,0.6839508047373215,0.6839166115675492,0.6840304366850309,0.6839508047373216,0.6839166115675492
test_metrics,PolygenicScoreEXT_x_SubstanceUseTrajectory,logistic_regression,AST,0.7826315789473685,0.5548195885112657,0.16529100548115347,0.25609756097560976,0.33201581027667987,0.2891566265060241,0.8924936386768448,0.8518518518518519,0.8716992854923888,0.5742955998262274,0.5919338310642659,0.5804279559992065,0.8077524767513645,0.7826315789473685,0.7941291314273624
