type,interaction,Model,Target,Accuracy,Custom_Metric,Matthews Correlation Coefficient,3.0_Precision,3.0_Recall,3.0_F1-Score,4.0_Precision,4.0_Recall,4.0_F1-Score,macro avg_Precision,macro avg_Recall,macro avg_F1-Score,weighted avg_Precision,weighted avg_Recall,weighted avg_F1-Score
validation_metrics,PolygenicScoreEXT_x_DelinquentPeer,logistic_regression,AST,0.7372833985466741,0.6123206885199155,0.3121614436318419,0.20503597122302158,0.8028169014084507,0.32664756446991405,0.9772911597729116,0.7316332726168792,0.8368055555555556,0.5911635654979666,0.7672250870126649,0.5817265600127348,0.9159942135604553,0.7372833985466741,0.7963122996952083
test_metrics,PolygenicScoreEXT_x_DelinquentPeer,logistic_regression,AST,0.8054779206260481,0.6323591413785504,0.30936160390565565,0.2372448979591837,0.6549295774647887,0.34831460674157305,0.964924838940587,0.8184578020643595,0.885676741130092,0.6010848684498853,0.7366936897645742,0.6169956739358325,0.9071660062858307,0.8054779206260481,0.8430241849069675
validation_metrics,PolygenicScoreEXT_x_SchoolConnect,logistic_regression,AST,0.7339295695919508,0.6098395950618062,0.3091272759811509,0.20284697508896798,0.8028169014084507,0.32386363636363635,0.9771801140994295,0.7279902853673346,0.8343771746694504,0.5900135445941987,0.7654035933878927,0.5791204055165433,0.915718232747006,0.7339295695919508,0.7938556976211409
test_metrics,PolygenicScoreEXT_x_SchoolConnect,logistic_regression,AST,0.8026830631637787,0.629958859972459,0.30598397810017597,0.23425692695214106,0.6549295774647887,0.3450834879406308,0.9647988505747126,0.8154219793564056,0.8838433695294505,0.5995278887634268,0.7351757784105972,0.6144634287350407,0.906812851047376,0.8026830631637787,0.8410798685872412
validation_metrics,PolygenicScoreEXT_x_NeighborConnect,logistic_regression,AST,0.7361654555617664,0.6098992815324901,0.3076935745928691,0.20323741007194246,0.795774647887324,0.3237822349570201,0.9764801297648013,0.7310261080752884,0.8361111111111111,0.5898587699183718,0.7634003779813062,0.5799466730340657,0.915104799302875,0.7361654555617664,0.7954455435236987
test_metrics,PolygenicScoreEXT_x_NeighborConnect,logistic_regression,AST,0.8088317495807714,0.6352672682424122,0.3134833723710831,0.24093264248704663,0.6549295774647887,0.3522727272727273,0.9650748396293657,0.8221007893139041,0.8878688524590164,0.6030037410582062,0.7385151833893464,0.6200707898658718,0.907596811684028,0.8088317495807714,0.8453564713654148
validation_metrics,PolygenicScoreEXT_x_ParentalWarmth,logistic_regression,AST,0.7384013415315819,0.6115576973322677,0.30972806335128994,0.20471014492753623,0.795774647887324,0.32564841498559083,0.9765561843168957,0.7334547662416515,0.8377253814147018,0.5906331646222159,0.7646147070644878,0.5816868982001463,0.915291713890239,0.7384013415315819,0.7970798088976901
test_metrics,PolygenicScoreEXT_x_ParentalWarmth,logistic_regression,AST,0.8032420346562326,0.6304372704044852,0.30665543359708186,0.23484848484848486,0.6549295774647887,0.34572490706319703,0.964824120603015,0.8160291438979964,0.8842105263157894,0.59983630272575,0.7354793606813925,0.6149677166894932,0.906883069581694,0.8032420346562326,0.8414687946590718
validation_metrics,PolygenicScoreEXT_x_SubstanceUseTrajectory,logistic_regression,AST,0.7333705980994969,0.6094274334018108,0.308625126442637,0.2024866785079929,0.8028169014084507,0.32340425531914896,0.9771615008156607,0.7273831208257437,0.8339714584058476,0.5898240896618268,0.7651000111170972,0.5786878568624982,0.91567249870963,0.7333705980994969,0.7934457217718001
test_metrics,PolygenicScoreEXT_x_SubstanceUseTrajectory,logistic_regression,AST,0.8082727780883175,0.6347804262741961,0.3127910992367893,0.24031007751937986,0.6549295774647887,0.3516068052930057,0.9650499286733238,0.8214936247723132,0.8875040997048211,0.6026800030963518,0.738211601118551,0.6195554524989134,0.9075244625671975,0.8082727780883175,0.8449678136195904
