type,interaction,Model,Target,Accuracy,Custom_Metric,Matthews Correlation Coefficient,3.0_Precision,3.0_Recall,3.0_F1-Score,4.0_Precision,4.0_Recall,4.0_F1-Score,macro avg_Precision,macro avg_Recall,macro avg_F1-Score,weighted avg_Precision,weighted avg_Recall,weighted avg_F1-Score
train_metrics,PolygenicScoreEXT_x_Age,logistic_regression,AST,0.7383837604198826,0.7122766147137976,0.47696735526444245,0.7454892297909547,0.7239117011423278,0.7345420370442888,0.7316780436576401,0.7528558196974375,0.7421158747669951,0.7385836367242974,0.7383837604198826,0.738328955905642,0.7385836367242975,0.7383837604198826,0.738328955905642
test_metrics,PolygenicScoreEXT_x_Age,logistic_regression,AST,0.7279432624113475,0.6574643365900531,0.26728790112032336,0.19043238270469182,0.7237762237762237,0.30152949745083757,0.9675963904840033,0.7283112071627046,0.8310727496917387,0.5790143865943476,0.7260437154694641,0.5663011235712881,0.9045413816258805,0.7279432624113475,0.7881083893680799
train_metrics,PolygenicScoreEXT_x_DelinquentPeer,logistic_regression,AST,0.7379206545230009,0.7117592529685378,0.47601206778617516,0.7444682369735903,0.7245291756715035,0.7343633874437707,0.7317146508306397,0.7513121333744983,0.7413839064701627,0.738091443902115,0.7379206545230009,0.7378736469569667,0.7380914439021149,0.7379206545230009,0.7378736469569668
test_metrics,PolygenicScoreEXT_x_DelinquentPeer,logistic_regression,AST,0.7273758865248227,0.6575812502515942,0.2685346922501486,0.19065077910174152,0.7272727272727273,0.3021060275962237,0.9679539852095317,0.7273849953689411,0.8306010928961749,0.5793023821556366,0.7273288613208342,0.5663535602461993,0.9048876825295805,0.7273758865248227,0.7877217769597816
train_metrics,PolygenicScoreEXT_x_SchoolConnect,logistic_regression,AST,0.7398116702686014,0.7138462500700481,0.4798190436038625,0.746861592245352,0.7255325717814141,0.7360425965077129,0.7331532342788534,0.7540907687557888,0.7434746214138954,0.7400074132621026,0.7398116702686015,0.7397586089608041,0.7400074132621026,0.7398116702686014,0.7397586089608041
test_metrics,PolygenicScoreEXT_x_SchoolConnect,logistic_regression,AST,0.7304964539007093,0.6599209551854387,0.27130244166964695,0.1925925925925926,0.7272727272727273,0.3045387994143484,0.9680981595092024,0.7307811052794072,0.8328641801548206,0.5803453760508975,0.7290269162760672,0.5687014897845845,0.9051777078388051,0.7304964539007093,0.7899986315330404
train_metrics,PolygenicScoreEXT_x_NeighborConnect,logistic_regression,AST,0.739541525162087,0.7135577161711503,0.47931039970717065,0.7471529824002549,0.7241432540907687,0.7354681926860817,0.7323848745788094,0.7549397962334053,0.7434913154194063,0.7397689284895321,0.739541525162087,0.739479754052744,0.7397689284895321,0.739541525162087,0.739479754052744
test_metrics,PolygenicScoreEXT_x_NeighborConnect,logistic_regression,AST,0.7316312056737588,0.660773500807299,0.2723164018147768,0.19330855018587362,0.7272727272727273,0.30543318649045526,0.9681502654144549,0.7320160543377585,0.8336849507735583,0.5807294078001642,0.7296443908052429,0.5695590686320068,0.90528367518598,0.7316312056737588,0.7908253750047732
train_metrics,PolygenicScoreEXT_x_ParentalWarmth,logistic_regression,AST,0.7386924976844705,0.7126279396951901,0.4776277279810144,0.7465518615961094,0.7227539364001235,0.73446017490882,0.7313187224175332,0.7546310589688175,0.7427920227920227,0.7389352920068213,0.7386924976844705,0.7386260988504214,0.7389352920068212,0.7386924976844705,0.7386260988504214
test_metrics,PolygenicScoreEXT_x_ParentalWarmth,logistic_regression,AST,0.7290780141843972,0.6577724280941082,0.26654310510510393,0.19056429232192415,0.7202797202797203,0.30138990490124357,0.967266775777414,0.7298548934856437,0.831954953369699,0.5789155340496691,0.7250673068826821,0.5666724291354713,0.9042492125807418,0.7290780141843972,0.788907689862755
train_metrics,PolygenicScoreEXT_x_Is_Male,logistic_regression,AST,0.7394257486878666,0.713428167938446,0.4790708280697519,0.7468958930276982,0.7242976227230626,0.7354231974921631,0.7323943661971831,0.7545538746526705,0.74330900243309,0.7396451296124407,0.7394257486878666,0.7393660999626266,0.7396451296124408,0.7394257486878666,0.7393660999626266
test_metrics,PolygenicScoreEXT_x_Is_Male,logistic_regression,AST,0.7302127659574468,0.6597079654854014,0.2710495823104427,0.19241443108233117,0.7272727272727273,0.30431602048280904,0.9680851063829787,0.7304723680148194,0.8326588069681508,0.580249768732655,0.7288725476437734,0.5684874137254798,0.9051512586848268,0.7302127659574468,0.7897918461355812
