type,interaction,Model,Target,Accuracy,Custom_Metric,Matthews Correlation Coefficient,3.0_Precision,3.0_Recall,3.0_F1-Score,4.0_Precision,4.0_Recall,4.0_F1-Score,macro avg_Precision,macro avg_Recall,macro avg_F1-Score,weighted avg_Precision,weighted avg_Recall,weighted avg_F1-Score
train_metrics,PolygenicScoreEXT_x_Age,logistic_regression,AST,0.7298056483449742,0.6623092504775602,0.4597353693054928,0.7352712575781128,0.7181901002125721,0.7266303095475842,0.7245882178364742,0.7414211964773763,0.7329080675422139,0.7299297377072935,0.7298056483449742,0.7297691885448991,0.7299297377072935,0.7298056483449742,0.729769188544899
test_metrics,PolygenicScoreEXT_x_Age,logistic_regression,AST,0.6908887646730016,0.5711469001099292,0.25583493236764954,0.17329093799682035,0.7676056338028169,0.2827496757457847,0.971551724137931,0.684274438372799,0.8029925187032418,0.5724213310673757,0.7259400360878079,0.5428710972245132,0.9081906108723984,0.6908887646730016,0.7616987882952156
train_metrics,PolygenicScoreEXT_x_DelinquentPeer,logistic_regression,AST,0.7275280898876404,0.6594502856434836,0.45515181017902545,0.7322895675089134,0.7172790768296387,0.7247066042801259,0.7229578931706592,0.7377771029456422,0.7302923273465094,0.7276237303397863,0.7275280898876404,0.7274994658133176,0.7276237303397863,0.7275280898876404,0.7274994658133177
test_metrics,PolygenicScoreEXT_x_DelinquentPeer,logistic_regression,AST,0.6920067076579094,0.571922319599676,0.2567100274272433,0.17384370015948963,0.7676056338028169,0.2834850455136541,0.9716006884681584,0.6854887674559805,0.8038447846208615,0.572722194313824,0.7265472006293987,0.5436649150672578,0.9082795636275597,0.6920067076579094,0.7625417757034645
train_metrics,PolygenicScoreEXT_x_SchoolConnect,logistic_regression,AST,0.7279836015791072,0.6600234262947259,0.4560717347845652,0.7329712955779674,0.7172790768296387,0.7250402885427057,0.7232049947970863,0.7386881263285757,0.7308645684669121,0.7280881451875268,0.7279836015791072,0.7279524285048089,0.7280881451875268,0.7279836015791072,0.727952428504809
test_metrics,PolygenicScoreEXT_x_SchoolConnect,logistic_regression,AST,0.6897708216880939,0.5687796933778592,0.2515041630480264,0.17170111287758347,0.7605633802816901,0.28015564202334625,0.9706896551724138,0.6836672738312083,0.8022800142500892,0.5711953840249986,0.7221153270564492,0.5412178281367177,0.9072707770249203,0.6897708216880939,0.7608369394282908
train_metrics,PolygenicScoreEXT_x_NeighborConnect,logistic_regression,AST,0.729122380807774,0.6614382469507775,0.4583286466310776,0.7335913312693498,0.7195566352869723,0.726506208799632,0.7248212157330155,0.7386881263285757,0.7316889757858325,0.7292062735011826,0.729122380807774,0.7290975922927323,0.7292062735011827,0.729122380807774,0.7290975922927322
test_metrics,PolygenicScoreEXT_x_NeighborConnect,logistic_regression,AST,0.6908887646730016,0.5695538645294873,0.2523760910218781,0.1722488038277512,0.7605633802816901,0.2808842652795839,0.9707401032702238,0.6848816029143898,0.8031327874688502,0.5714944535489874,0.7227224915980399,0.542008526374217,0.9073606932529901,0.6908887646730016,0.7616798583738945
train_metrics,PolygenicScoreEXT_x_ParentalWarmth,logistic_regression,AST,0.7295778924992408,0.662011163875784,0.45924803477896553,0.7342733188720173,0.7195566352869723,0.7268404907975461,0.7250669842214945,0.7395991497115093,0.7322609741431149,0.7296701515467559,0.7295778924992409,0.7295507324703305,0.729670151546756,0.7295778924992408,0.7295507324703305
test_metrics,PolygenicScoreEXT_x_ParentalWarmth,logistic_regression,AST,0.68921185019564,0.5683929921190359,0.2510692427822335,0.17142857142857143,0.7605633802816901,0.2797927461139897,0.9706643658326143,0.6830601092896175,0.8018531717747683,0.5710464686305928,0.7218117447856538,0.540822958944379,0.90722586230809,0.68921185019564,0.7604151726446227
train_metrics,PolygenicScoreEXT_x_Is_Male,logistic_regression,AST,0.7267689037351959,0.6585023464619443,0.4536359646685042,0.7315862924484416,0.7163680534467052,0.7238971998465669,0.7221478506619069,0.7371697540236866,0.7295814862123374,0.7268670715551743,0.7267689037351959,0.7267393430294522,0.7268670715551743,0.7267689037351959,0.7267393430294521
test_metrics,PolygenicScoreEXT_x_Is_Male,logistic_regression,AST,0.6908887646730016,0.5711469001099292,0.25583493236764954,0.17329093799682035,0.7676056338028169,0.2827496757457847,0.971551724137931,0.684274438372799,0.8029925187032418,0.5724213310673757,0.7259400360878079,0.5428710972245132,0.9081906108723984,0.6908887646730016,0.7616987882952156
