type,interaction,Model,Target,Accuracy,Custom_Metric,Matthews Correlation Coefficient,1.0_Precision,1.0_Recall,1.0_F1-Score,4.0_Precision,4.0_Recall,4.0_F1-Score,macro avg_Precision,macro avg_Recall,macro avg_F1-Score,weighted avg_Precision,weighted avg_Recall,weighted avg_F1-Score
train_metrics,PolygenicScoreEXT_x_Age,logistic_regression,AST,0.8722289705435773,0.859550987629296,0.7447980126939494,0.8613117170228445,0.8873367749772244,0.8741305811083688,0.8838265226240801,0.8571211661099302,0.8702690202728744,0.8725691198234623,0.8722289705435773,0.8721998006906216,0.8725691198234624,0.8722289705435773,0.8721998006906215
test_metrics,PolygenicScoreEXT_x_Age,logistic_regression,AST,0.9649435531788473,0.7787157604289607,0.2919429020677671,0.2653061224489796,0.3611111111111111,0.3058823529411765,0.9859241126070991,0.9781420765027322,0.9820176775373363,0.6256151175280393,0.6696265938069217,0.6439500152392563,0.9705098240475671,0.9649435531788473,0.9675548898454398
train_metrics,PolygenicScoreEXT_x_DelinquentPeer,logistic_regression,AST,0.8703310051624659,0.8574935147528834,0.7411062393137107,0.8579395362488993,0.8876404494382022,0.8725373134328357,0.8836111984900912,0.8530215608867294,0.8680469715698392,0.8707753673694952,0.8703310051624658,0.8702921425013375,0.8707753673694952,0.8703310051624659,0.8702921425013376
test_metrics,PolygenicScoreEXT_x_DelinquentPeer,logistic_regression,AST,0.9649435531788473,0.7787157604289607,0.2919429020677671,0.2653061224489796,0.3611111111111111,0.3058823529411765,0.9859241126070991,0.9781420765027322,0.9820176775373363,0.6256151175280393,0.6696265938069217,0.6439500152392563,0.9705098240475671,0.9649435531788473,0.9675548898454398
train_metrics,PolygenicScoreEXT_x_SchoolConnect,logistic_regression,AST,0.8724567263893107,0.8598590187457548,0.7454507097144278,0.8588355763604447,0.8914363802004251,0.8748323647742513,0.8871527777777778,0.8534770725781962,0.8699891657638138,0.8729941770691112,0.8724567263893106,0.8724107652690325,0.8729941770691112,0.8724567263893107,0.8724107652690325
test_metrics,PolygenicScoreEXT_x_SchoolConnect,logistic_regression,AST,0.964349376114082,0.7876672001360827,0.322640652896496,0.2777777777777778,0.4166666666666667,0.33333333333333337,0.9871086556169429,0.97632058287796,0.9816849816849818,0.6324432166973604,0.6964936247723134,0.6575091575091576,0.9719358026150356,0.964349376114082,0.967816497228262
train_metrics,PolygenicScoreEXT_x_NeighborConnect,logistic_regression,AST,0.8704069237777103,0.8575605675156084,0.7412015831799811,0.8588027651125165,0.8865775888247799,0.8724691819200598,0.8827867566295309,0.8542362587306408,0.868276873215526,0.8707947608710237,0.8704069237777103,0.870373027567793,0.8707947608710237,0.8704069237777103,0.8703730275677929
test_metrics,PolygenicScoreEXT_x_NeighborConnect,logistic_regression,AST,0.9667260843731432,0.7876889836535743,0.3200779514423424,0.2916666666666667,0.3888888888888889,0.3333333333333333,0.9865443425076452,0.9793564055859137,0.9829372333942716,0.639105504587156,0.6841226472374013,0.6581352833638024,0.9716806489067686,0.9667260843731432,0.9690419628047328
train_metrics,PolygenicScoreEXT_x_ParentalWarmth,logistic_regression,AST,0.86835712116611,0.8552784122493617,0.737008218005845,0.8582398109864147,0.8824779836015791,0.8701901482257823,0.8790625,0.8542362587306408,0.8664715847836131,0.8686511554932073,0.86835712116611,0.8683308665046977,0.8686511554932073,0.86835712116611,0.8683308665046977
test_metrics,PolygenicScoreEXT_x_ParentalWarmth,logistic_regression,AST,0.9649435531788473,0.78386632858999,0.30926912098117904,0.27450980392156865,0.3888888888888889,0.3218390804597701,0.9865196078431373,0.9775349119611415,0.9820067093626107,0.630514705882353,0.6832119004250152,0.6519228949111904,0.9712894516095208,0.9649435531788473,0.9678854766588065
train_metrics,PolygenicScoreEXT_x_Is_Male,logistic_regression,AST,0.8692681445490434,0.8562961867997836,0.7388839114342817,0.8582793164407778,0.8846037048284239,0.8712427097353073,0.8809523809523809,0.8539325842696629,0.8672320740169622,0.8696158486965794,0.8692681445490433,0.8692373918761347,0.8696158486965794,0.8692681445490434,0.8692373918761348
test_metrics,PolygenicScoreEXT_x_Is_Male,logistic_regression,AST,0.9655377302436126,0.7799542107860205,0.29540582575408275,0.2708333333333333,0.3611111111111111,0.3095238095238095,0.9859327217125382,0.978749241044323,0.9823278488726387,0.6283830275229357,0.6699301760777171,0.645925829198224,0.970636478110844,0.9655377302436126,0.9679363186191878
train_metrics,PolygenicScoreEXT_x_SubstanceUseTrajectory,logistic_regression,AST,0.8699514120862435,0.8570593496691777,0.7402900829752096,0.8583615237534932,0.886122077133313,0.8720209189391108,0.8823160207123804,0.8537807470391741,0.8678138745273556,0.8703387722329368,0.8699514120862435,0.8699173967332332,0.8703387722329369,0.8699514120862435,0.8699173967332332
test_metrics,PolygenicScoreEXT_x_SubstanceUseTrajectory,logistic_regression,AST,0.9673202614379085,0.7890290749229069,0.3238994081453314,0.2978723404255319,0.3888888888888889,0.3373493975903615,0.9865525672371638,0.9799635701275046,0.9832470301553456,0.6422124538313478,0.6844262295081968,0.6602982138728536,0.9718214393909257,0.9673202614379085,0.9694310380149183
