type,interaction,Model,Target,Accuracy,Custom_Metric,Matthews Correlation Coefficient,2.0_Precision,2.0_Recall,2.0_F1-Score,4.0_Precision,4.0_Recall,4.0_F1-Score,macro avg_Precision,macro avg_Recall,macro avg_F1-Score,weighted avg_Precision,weighted avg_Recall,weighted avg_F1-Score
train_metrics,PolygenicScoreEXT_x_Age,logistic_regression,AST,0.6863802004251442,0.6550361032850127,0.3728297250560256,0.6828541635632355,0.6960218645611904,0.6893751409880442,0.6900448985911132,0.6767385362890981,0.6833269451897278,0.6864495310771743,0.6863802004251442,0.686351043088886,0.6864495310771743,0.6863802004251442,0.6863510430888861
test_metrics,PolygenicScoreEXT_x_Age,logistic_regression,AST,0.7810526315789473,0.6483624215332794,0.17084416650285433,0.258160237388724,0.3438735177865613,0.29491525423728815,0.8937939859245042,0.8482088646023073,0.8704049844236761,0.5759771116566141,0.5960411911944343,0.5826601193304821,0.8091543341457924,0.7810526315789473,0.7937739835093834
train_metrics,PolygenicScoreEXT_x_DelinquentPeer,logistic_regression,AST,0.6891132705739448,0.6580524374087262,0.37833405464876313,0.6847100697019131,0.7010324931673246,0.6927751519243753,0.6937315290091771,0.6771940479805648,0.6853630426431041,0.689220799355545,0.6891132705739447,0.6890690972837397,0.6892207993555451,0.6891132705739448,0.6890690972837397
test_metrics,PolygenicScoreEXT_x_DelinquentPeer,logistic_regression,AST,0.7826315789473685,0.6513209562382272,0.17820817288238297,0.26331360946745563,0.35177865612648224,0.3011844331641286,0.8950064020486556,0.848816029143898,0.8712994702399502,0.5791600057580556,0.6002973426351901,0.5862419517020394,0.8108915196681064,0.7826315789473685,0.7953841521451172
train_metrics,PolygenicScoreEXT_x_SchoolConnect,logistic_regression,AST,0.686683874886122,0.6553701819030191,0.37343718692984396,0.68315209295397,0.6963255390221682,0.6896759154823671,0.6903545440470661,0.6770422107500759,0.6836335760827903,0.686753318500518,0.686683874886122,0.6866547457825787,0.686753318500518,0.686683874886122,0.6866547457825788
test_metrics,PolygenicScoreEXT_x_SchoolConnect,logistic_regression,AST,0.7805263157894737,0.6494454695365086,0.1752425173091415,0.260233918128655,0.35177865612648224,0.2991596638655462,0.8947368421052632,0.8463873709775349,0.8698907956318253,0.577485380116959,0.5990830135520085,0.5845252297486857,0.8102477685441675,0.7805263157894737,0.7938934396650522
train_metrics,PolygenicScoreEXT_x_NeighborConnect,logistic_regression,AST,0.6863802004251442,0.6550344529133162,0.37282332784972183,0.6830177426569256,0.6955663528697237,0.6892349356804334,0.6898685228151585,0.6771940479805648,0.6834725308405486,0.6864431327360421,0.6863802004251442,0.686353733260491,0.686443132736042,0.6863802004251442,0.686353733260491
test_metrics,PolygenicScoreEXT_x_NeighborConnect,logistic_regression,AST,0.7794736842105263,0.6453990688995134,0.16346355628919068,0.25297619047619047,0.3359683794466403,0.28862478777589134,0.8925831202046036,0.8476017000607164,0.8695110557458736,0.572779655340397,0.5917850397536784,0.5790679217608825,0.8074144079828728,0.7794736842105263,0.7921614632214495
train_metrics,PolygenicScoreEXT_x_ParentalWarmth,logistic_regression,AST,0.6863042818098998,0.6549462378085941,0.37265325850879016,0.6834629186602871,0.6940479805648345,0.6887147807744464,0.6892350400987045,0.678560583054965,0.6838561591430757,0.6863489793794958,0.6863042818098998,0.686285469958761,0.6863489793794958,0.6863042818098998,0.6862854699587609
test_metrics,PolygenicScoreEXT_x_ParentalWarmth,logistic_regression,AST,0.7810526315789473,0.6483624215332794,0.17084416650285433,0.258160237388724,0.3438735177865613,0.29491525423728815,0.8937939859245042,0.8482088646023073,0.8704049844236761,0.5759771116566141,0.5960411911944343,0.5826601193304821,0.8091543341457924,0.7810526315789473,0.7937739835093834
train_metrics,PolygenicScoreEXT_x_Is_Male,logistic_regression,AST,0.6840267233525661,0.6524580373125632,0.36816484142347633,0.6796087729697688,0.6963255390221682,0.687865606719664,0.688667496886675,0.6717279076829639,0.6800922367409685,0.6841381349282218,0.6840267233525661,0.6839789217303163,0.684138134928222,0.6840267233525661,0.6839789217303163
test_metrics,PolygenicScoreEXT_x_Is_Male,logistic_regression,AST,0.7810526315789473,0.6491393185066341,0.17341716163624923,0.25958702064896755,0.34782608695652173,0.29729729729729726,0.8942985265855221,0.8476017000607164,0.8703241895261846,0.5769427736172448,0.597713893508619,0.583810743411741,0.8097816786897599,0.7810526315789473,0.7940211349293907
train_metrics,PolygenicScoreEXT_x_SubstanceUseTrajectory,logistic_regression,AST,0.6854691770422108,0.6540311779027258,0.3709969008390202,0.6822318364911234,0.6943516550258123,0.6882383926555798,0.6888236203431751,0.6765866990586091,0.6826503255457678,0.6855277284171493,0.6854691770422108,0.6854443591006738,0.6855277284171493,0.6854691770422108,0.6854443591006738
test_metrics,PolygenicScoreEXT_x_SubstanceUseTrajectory,logistic_regression,AST,0.7836842105263158,0.6499309108727597,0.17198369460242074,0.2606060606060606,0.33992094861660077,0.2950257289879932,0.8936305732484077,0.8518518518518519,0.8722412185265777,0.5771183169272341,0.5958864002342263,0.5836334737572855,0.8093383618281372,0.7836842105263158,0.7953804191301239
