type,interaction,Model,Target,Accuracy,1.0_Precision,1.0_Recall,1.0_F1-Score,4.0_Precision,4.0_Recall,4.0_F1-Score,macro avg_Precision,macro avg_Recall,macro avg_F1-Score,weighted avg_Precision,weighted avg_Recall,weighted avg_F1-Score
train_metrics,PolygenicScoreEXT_x_Age,random_forest,AST,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
test_metrics,PolygenicScoreEXT_x_Age,random_forest,AST,0.17913148371531967,0.026146131805157593,0.9605263157894737,0.05090655509065551,0.9942748091603053,0.16080246913580246,0.2768331562167906,0.5102104704827315,0.5606643924626381,0.16386985565372306,0.9720860939977626,0.17913148371531967,0.2716551038387489
train_metrics,PolygenicScoreEXT_x_DelinquentPeer,random_forest,AST,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
test_metrics,PolygenicScoreEXT_x_DelinquentPeer,random_forest,AST,0.25,0.026698076168040832,0.8947368421052632,0.05184902783072817,0.9895968790637191,0.23487654320987655,0.37964579695684714,0.50814747761588,0.5648066926575699,0.21574741239378764,0.9675280283339027,0.25,0.3721329638888179
train_metrics,PolygenicScoreEXT_x_SchoolConnect,random_forest,AST,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
test_metrics,PolygenicScoreEXT_x_SchoolConnect,random_forest,AST,0.2792521109770808,0.027755102040816326,0.8947368421052632,0.053840063341250986,0.9907621247113164,0.26481481481481484,0.41792498782269855,0.5092586133760664,0.5797758284600389,0.23588252558197476,0.9686907936730299,0.27925211097708086,0.40958045999984266
train_metrics,PolygenicScoreEXT_x_NeighborConnect,random_forest,AST,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
test_metrics,PolygenicScoreEXT_x_NeighborConnect,random_forest,AST,0.17249698431845598,0.025604551920341393,0.9473684210526315,0.04986149584487534,0.9920634920634921,0.15432098765432098,0.2670940170940171,0.5088340219919167,0.5508447043534762,0.15847775646944623,0.9699130459082208,0.17249698431845598,0.26211522589530334
train_metrics,PolygenicScoreEXT_x_ParentalWarmth,random_forest,AST,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
test_metrics,PolygenicScoreEXT_x_ParentalWarmth,random_forest,AST,0.22074788902291917,0.026435045317220542,0.9210526315789473,0.0513950073421439,0.9910179640718563,0.204320987654321,0.338792221084954,0.5087265046945384,0.5626868096166342,0.19509361421354895,0.9689105147879744,0.22074788902291917,0.33220531268795345
train_metrics,PolygenicScoreEXT_x_Is_Male,random_forest,AST,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
test_metrics,PolygenicScoreEXT_x_Is_Male,random_forest,AST,0.1338962605548854,0.025135869565217392,0.9736842105263158,0.04900662251655629,0.9946236559139785,0.11419753086419752,0.2048726467331118,0.5098797627395979,0.5439408706952567,0.12693963462483404,0.9724037910881324,0.1338962605548854,0.20130032530957198
train_metrics,PolygenicScoreEXT_x_Race_1.0,random_forest,AST,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
test_metrics,PolygenicScoreEXT_x_Race_1.0,random_forest,AST,0.2922195416164053,0.028250934773577065,0.8947368421052632,0.05477245267821184,0.9911991199119912,0.2780864197530864,0.4343215232586165,0.5097250273427841,0.5864116309291748,0.24454698796841418,0.9691291373816778,0.2922195416164053,0.4256225698918762
train_metrics,PolygenicScoreEXT_x_Race_2.0,random_forest,AST,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
test_metrics,PolygenicScoreEXT_x_Race_2.0,random_forest,AST,0.14837153196622438,0.025879917184265012,0.9868421052631579,0.05043712172158709,0.9976076555023924,0.1287037037037037,0.22799343903772554,0.5117437863433287,0.5577729044834308,0.1392152803796563,0.9753364528147634,0.14837153196622438,0.22392399388813974
train_metrics,PolygenicScoreEXT_x_Race_3.0,random_forest,AST,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
test_metrics,PolygenicScoreEXT_x_Race_3.0,random_forest,AST,0.15681544028950542,0.02580195258019526,0.9736842105263158,0.050271739130434784,0.9955357142857143,0.13765432098765432,0.24186550976138832,0.5106688334329548,0.555669265756985,0.14606862444591157,0.9733102119064563,0.15681544028950542,0.23747433769626392
train_metrics,PolygenicScoreEXT_x_Race_4.0,random_forest,AST,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
test_metrics,PolygenicScoreEXT_x_Race_4.0,random_forest,AST,0.1779252110977081,0.026108726752503576,0.9605263157894737,0.050835654596100274,0.9942307692307693,0.1595679012345679,0.275,0.5101697479916364,0.5600471085120208,0.16291782729805016,0.9720422061341624,0.1779252110977081,0.2698623370775946
train_metrics,PolygenicScoreEXT_x_Race_5.0,random_forest,AST,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
