type,interaction,Model,Target,Accuracy,Custom_Metric,Matthews Correlation Coefficient,3.0_Precision,3.0_Recall,3.0_F1-Score,4.0_Precision,4.0_Recall,4.0_F1-Score,macro avg_Precision,macro avg_Recall,macro avg_F1-Score,weighted avg_Precision,weighted avg_Recall,weighted avg_F1-Score
validation_metrics,PolygenicScoreEXT_x_DelinquentPeer,random_forest,AST,0.8211291224147569,0.6394770200323081,0.31460571286422573,0.25,0.6267605633802817,0.357429718875502,0.9630146545708305,0.8378870673952641,0.8961038961038961,0.6065073272854152,0.7323238153877729,0.626766807489699,0.9064198636546438,0.8211291224147569,0.8533471978554713
test_metrics,PolygenicScoreEXT_x_DelinquentPeer,random_forest,AST,0.4343208496366685,0.4266237260617157,0.1395726897093536,0.10881294964028777,0.852112676056338,0.1929824561403509,0.9689807976366323,0.39829993928354585,0.5645438898450947,0.5388968736384601,0.6252063076699419,0.37876317299272283,0.9007058762193707,0.4343208496366685,0.5350515904677479
validation_metrics,PolygenicScoreEXT_x_SchoolConnect,random_forest,AST,0.815539407490218,0.6361402162157356,0.3109806158696622,0.24456521739130435,0.6338028169014085,0.35294117647058826,0.9634060520760028,0.8312082574377656,0.8924380704041721,0.6039856347336536,0.732505537169587,0.6226896234373802,0.9063488142195316,0.815539407490218,0.849616069879539
test_metrics,PolygenicScoreEXT_x_SchoolConnect,random_forest,AST,0.46003353828954724,0.43919528079655784,0.14611010066593458,0.1120527306967985,0.8380281690140845,0.19767441860465118,0.9683631361760661,0.42744383727990287,0.5930918281381634,0.5402079334364323,0.6327360031469937,0.3953831233714073,0.9003943952157217,0.46003353828954724,0.5617059856821776
validation_metrics,PolygenicScoreEXT_x_NeighborConnect,random_forest,AST,0.8183342649524874,0.6301453326090071,0.2960634696927034,0.24079320113314448,0.5985915492957746,0.3434343434343434,0.9603064066852368,0.8372799028536734,0.8945831981835874,0.6005498039091907,0.717935726074724,0.6190087708089654,0.9031958000958589,0.8183342649524874,0.8508363354812997
test_metrics,PolygenicScoreEXT_x_NeighborConnect,random_forest,AST,0.3991056456120738,0.41161577993472503,0.1358812895033506,0.10566356720202874,0.8802816901408451,0.18867924528301888,0.971947194719472,0.35761991499696416,0.5228584110075455,0.5388053809607504,0.6189508025689047,0.3557688281452822,0.9031868397124977,0.3991056456120738,0.49633328997183684
validation_metrics,PolygenicScoreEXT_x_ParentalWarmth,random_forest,AST,0.8211291224147569,0.6326667267549665,0.2997382302045599,0.2442528735632184,0.5985915492957746,0.3469387755102041,0.9604441360166551,0.8403157255616271,0.8963730569948186,0.6023485047899367,0.7194536374287008,0.6216559162525114,0.9035972051790989,0.8211291224147569,0.8527622867484155
test_metrics,PolygenicScoreEXT_x_ParentalWarmth,random_forest,AST,0.48015651201788706,0.4532281659958706,0.16062094076573677,0.11673151750972763,0.8450704225352113,0.20512820512820512,0.9710906701708278,0.44869459623557983,0.6137873754152824,0.5439110938402777,0.6468825093853956,0.4094577902717438,0.903276807857873,0.48015651201788706,0.581350482077795
validation_metrics,PolygenicScoreEXT_x_SubstanceUseTrajectory,random_forest,AST,0.8144214645053103,0.6334581691987975,0.3058649941749123,0.2418478260869565,0.6267605633802817,0.3490196078431373,0.9627023223082336,0.8306010928961749,0.8917861799217732,0.6022750741975951,0.7286808281382283,0.6204028938824553,0.9054852521777577,0.8144214645053103,0.8487046521212331
test_metrics,PolygenicScoreEXT_x_SubstanceUseTrajectory,random_forest,AST,0.48518725544997204,0.45471538175160214,0.15980288923706698,0.11701081612586037,0.8380281690140845,0.20534943917169973,0.9702072538860104,0.45476624165148755,0.6192641587432823,0.5436090350059354,0.646397205332786,0.412306798957491,0.9024856808497101,0.48518725544997204,0.5864101116895291
