type,interaction,Model,Target,Accuracy,Custom_Metric,Matthews Correlation Coefficient,1.0_Precision,1.0_Recall,1.0_F1-Score,3.0_Precision,3.0_Recall,3.0_F1-Score,macro avg_Precision,macro avg_Recall,macro avg_F1-Score,weighted avg_Precision,weighted avg_Recall,weighted avg_F1-Score
validation_metrics,PolygenicScoreEXT_x_DelinquentPeer,random_forest,SUT,0.6506373117033604,0.5636546253537644,0.3021866956849829,0.6633165829145728,0.6118192352259559,0.6365280289330922,0.6397849462365591,0.6894553881807648,0.6636921360847741,0.651550764575566,0.6506373117033604,0.6501100825089332,0.6515507645755659,0.6506373117033604,0.6501100825089331
test_metrics,PolygenicScoreEXT_x_DelinquentPeer,random_forest,SUT,0.6687898089171974,0.5866507860997292,0.3392254048686877,0.6871794871794872,0.6203703703703703,0.6520681265206812,0.6536430834213305,0.7172653534183082,0.6839779005524862,0.6704112853004088,0.6688178618943392,0.6680230135365837,0.6704209947398293,0.6687898089171974,0.6680137750380222
validation_metrics,PolygenicScoreEXT_x_SchoolConnect,random_forest,SUT,0.6535341830822712,0.5671918502229578,0.30776421316702784,0.6645962732919255,0.6199304750869061,0.6414868105515588,0.6438653637350705,0.6871378910776361,0.6647982062780269,0.654230818513498,0.6535341830822712,0.6531425084147928,0.654230818513498,0.6535341830822712,0.6531425084147928
test_metrics,PolygenicScoreEXT_x_SchoolConnect,random_forest,SUT,0.6763173132599885,0.5964448509712714,0.3552148555431894,0.7003942181340341,0.6168981481481481,0.6559999999999999,0.6573498964803313,0.7358053302433372,0.6943685073810826,0.6788720573071827,0.6763517391957427,0.6751842536905412,0.6788845194732666,0.6763173132599885,0.6751731452633898
validation_metrics,PolygenicScoreEXT_x_NeighborConnect,random_forest,SUT,0.6500579374275782,0.5627255908837397,0.3005067071514046,0.6581196581196581,0.6245654692931634,0.6409036860879904,0.6427783902976847,0.6755504055619931,0.6587570621468926,0.6504490242086713,0.6500579374275782,0.6498303741174415,0.6504490242086713,0.6500579374275782,0.6498303741174416
test_metrics,PolygenicScoreEXT_x_NeighborConnect,random_forest,SUT,0.677475390851187,0.5975634204441151,0.35671960475507686,0.6970474967907574,0.6284722222222222,0.6609860012172853,0.6613924050632911,0.7265353418308227,0.6924351187189398,0.6792199509270243,0.6775037820265224,0.6767105599681126,0.6792302737677096,0.677475390851187,0.6767014548385522
validation_metrics,PolygenicScoreEXT_x_ParentalWarmth,random_forest,SUT,0.6564310544611819,0.5709598420152908,0.3139263244786917,0.6704545454545454,0.6152954808806489,0.6416918429003021,0.6445396145610278,0.697566628041715,0.6700055648302727,0.6574970800077866,0.656431054461182,0.6558487038652874,0.6574970800077867,0.6564310544611819,0.6558487038652874
test_metrics,PolygenicScoreEXT_x_ParentalWarmth,random_forest,SUT,0.6676317313259988,0.5855098842245549,0.33767247206499673,0.6902887139107612,0.6087962962962963,0.6469864698646987,0.649740932642487,0.7265353418308227,0.6859956236323851,0.6700148232766241,0.6676658190635595,0.6664910467485419,0.670026562645839,0.6676317313259988,0.6664797528418344
validation_metrics,PolygenicScoreEXT_x_AntisocialTrajectory,random_forest,SUT,0.6610660486674391,0.5767685706729134,0.32322784520398623,0.6755050505050505,0.6199304750869061,0.6465256797583082,0.6488222698072805,0.7022016222479722,0.674457429048414,0.6621636601561656,0.6610660486674391,0.6604915544033612,0.6621636601561655,0.6610660486674391,0.6604915544033612
test_metrics,PolygenicScoreEXT_x_AntisocialTrajectory,random_forest,SUT,0.6722640416907932,0.5914527172892995,0.3473020838914309,0.6970899470899471,0.6099537037037037,0.6506172839506174,0.6529351184346035,0.7346465816917729,0.6913849509269356,0.6750125327622754,0.6723001426977383,0.6710011174387764,0.6750253164416776,0.6722640416907932,0.6709893144083838
