type,interaction,Model,Target,Accuracy,Custom_Metric,Matthews Correlation Coefficient,0_Precision,0_Recall,0_F1-Score,1_Precision,1_Recall,1_F1-Score,macro avg_Precision,macro avg_Recall,macro avg_F1-Score,weighted avg_Precision,weighted avg_Recall,weighted avg_F1-Score
validation_metrics,PolygenicScoreEXT_x_DelinquentPeer,xgboost,AST,0.9655172413793104,0.6460706569198243,0.22003340378163616,0.9841560024375381,0.9805707346690953,0.982360097323601,0.21951219512195122,0.2571428571428571,0.2368421052631579,0.6018340987797447,0.6188567959059762,0.6096011012933794,0.9682448649488071,0.9655172413793104,0.9668469405328071
test_metrics,PolygenicScoreEXT_x_DelinquentPeer,xgboost,AST,0.5876411170528818,0.4834040875335208,0.1136697741669976,0.9927611168562565,0.5828779599271403,0.7345065034429994,0.040502793296089384,0.8055555555555556,0.07712765957446807,0.5166319550761729,0.694216757741348,0.40581708150873375,0.9723919548549694,0.5876411170528818,0.7204449238950095
validation_metrics,PolygenicScoreEXT_x_SchoolConnect,xgboost,AST,0.9684898929845422,0.6545995237980918,0.23745422184306583,0.9842041312272175,0.9836065573770492,0.9839052535681749,0.25,0.2571428571428571,0.2535211267605634,0.6171020656136088,0.6203747072599531,0.6187131901643692,0.9689263996023944,0.9684898929845422,0.9687070107392413
test_metrics,PolygenicScoreEXT_x_SchoolConnect,xgboost,AST,0.48722519310754603,0.43973675394702383,0.09858825604064118,0.9937027707808564,0.4790528233151184,0.6464563703400246,0.03487064116985377,0.8611111111111112,0.06702702702702704,0.5142867059753551,0.6700819672131147,0.3567416986835258,0.9731929926073589,0.48722519310754603,0.6340621597878748
validation_metrics,PolygenicScoreEXT_x_NeighborConnect,xgboost,AST,0.9714625445897741,0.6829232265344622,0.2997137652875358,0.9854280510018215,0.9854280510018215,0.9854280510018215,0.3142857142857143,0.3142857142857143,0.3142857142857143,0.6498568826437678,0.6498568826437678,0.6498568826437678,0.9714625445897741,0.9714625445897741,0.9714625445897741
test_metrics,PolygenicScoreEXT_x_NeighborConnect,xgboost,AST,0.6393345216874629,0.506486761641322,0.12391477594115059,0.9924242424242424,0.6363084395871281,0.7754347021827599,0.044657097288676235,0.7777777777777778,0.08446455505279035,0.5185406698564593,0.7070431086824529,0.42994962861777514,0.9721511484106474,0.6393345216874629,0.7606545920837232
validation_metrics,PolygenicScoreEXT_x_ParentalWarmth,xgboost,AST,0.9661117717003567,0.6737227789772346,0.2820032113554819,0.9859413202933985,0.9793564055859137,0.9826378312519037,0.2608695652173913,0.34285714285714286,0.29629629629629634,0.6234054427553949,0.6611067742215283,0.6394670637741,0.9708536202769537,0.9661117717003567,0.9683560513925421
test_metrics,PolygenicScoreEXT_x_ParentalWarmth,xgboost,AST,0.6179441473559121,0.49073051306500076,0.10815170303357141,0.9911937377690803,0.6150576806314512,0.7590857999250656,0.04084720121028744,0.75,0.07747489239598278,0.5160204694896838,0.6825288403157256,0.41828034616052423,0.970865469607395,0.6179441473559121,0.7445058874645504
validation_metrics,PolygenicScoreEXT_x_SubstanceUseTrajectory,xgboost,AST,0.9690844233055886,0.6656384700045026,0.2620999716143305,0.9848024316109423,0.9836065573770492,0.9842041312272175,0.2702702702702703,0.2857142857142857,0.2777777777777778,0.6275363509406062,0.6346604215456675,0.6309909545024976,0.9699340453761482,0.9690844233055886,0.9695044151923005
test_metrics,PolygenicScoreEXT_x_SubstanceUseTrajectory,xgboost,AST,0.6720142602495544,0.5197440388030905,0.12849386874116345,0.9919137466307277,0.6703096539162113,0.7999999999999999,0.04736842105263158,0.75,0.0891089108910891,0.5196410838416796,0.7101548269581057,0.4445544554455445,0.9717095685434957,0.6720142602495544,0.7847937734949965
