iter	MultiClass
0	1.31834804
1	1.266323312
2	1.210643876
3	1.168882352
4	1.124984117
5	1.090810669
6	1.057028826
7	1.029793449
8	1.002590955
9	0.9768099688
10	0.9516724241
11	0.9328964555
12	0.9139580702
13	0.8965308901
14	0.880417665
15	0.8652344501
16	0.8489736743
17	0.8349488019
18	0.82180497
19	0.8114673433
20	0.799995777
21	0.7894703725
22	0.7789117474
23	0.7686003533
24	0.7584292856
25	0.7499123008
26	0.7437478317
27	0.736480754
28	0.7294537435
29	0.720812411
30	0.7154289881
31	0.7091002243
32	0.7028126688
33	0.6967346183
34	0.6907804482
35	0.6851420575
36	0.6796899987
37	0.6737099331
38	0.6681453669
39	0.6609670954
40	0.6567177356
41	0.6523637785
42	0.6482446374
43	0.6449373357
44	0.6407706425
45	0.6377913982
46	0.6343379996
47	0.6327388493
48	0.6288611812
49	0.6229902796
50	0.6185669241
51	0.6131367669
52	0.6091792909
53	0.6059391529
54	0.6011773741
55	0.5980191504
56	0.5955285783
57	0.5926768371
58	0.5884987009
59	0.5848433187
60	0.5817865018
61	0.5770488236
62	0.5736230956
63	0.5699203043
64	0.565526186
65	0.5624546028
66	0.5602484064
67	0.5570624795
68	0.5549575129
69	0.5531058252
70	0.549725187
71	0.5470790638
72	0.5446678825
73	0.5416788203
74	0.539542916
75	0.537686428
76	0.5354244418
77	0.5326626361
78	0.5307960517
79	0.5275846271
80	0.5242757814
81	0.5217982839
82	0.5184308105
83	0.5163942134
84	0.5131787087
85	0.5108588473
86	0.5080402991
87	0.505733357
88	0.5044801938
89	0.5015267367
90	0.4988362537
91	0.4955013671
92	0.4928607692
93	0.4898588628
94	0.4872079236
95	0.4841133627
96	0.4808658176
97	0.4789096349
98	0.4774181445
99	0.4751211606
100	0.4724114689
101	0.4706634846
102	0.4681545995
103	0.4646997913
104	0.4624535625
105	0.4609237394
106	0.4589327813
107	0.4567384668
108	0.4546242112
109	0.4528595741
110	0.4509391771
111	0.4486769775
112	0.4468242783
113	0.4446279603
114	0.4426103315
115	0.440817642
116	0.4379099432
117	0.4367667863
118	0.4341518708
119	0.4324749331
120	0.431393574
121	0.4297124124
122	0.4283917381
123	0.4262000691
124	0.4240042748
125	0.4225591376
126	0.4213082516
127	0.4194604203
128	0.417514291
129	0.4153212845
130	0.4126838169
131	0.4113959022
132	0.4092081256
133	0.4077193199
134	0.4056251899
135	0.4043415909
136	0.4028255683
137	0.4014653138
138	0.4004822047
139	0.3993408407
140	0.3975508871
141	0.3966846513
142	0.3950970984
143	0.3936711875
144	0.391394319
145	0.3892846279
146	0.3867468643
147	0.3847173966
148	0.3826060506
149	0.3816352665
150	0.3800367792
151	0.3786279275
152	0.3775054832
153	0.3747820549
154	0.3732154417
155	0.3711685632
156	0.3688856541
157	0.3678285137
158	0.3663977119
159	0.3648362867
160	0.3635854491
161	0.3623645666
162	0.3613521817
163	0.3595105972
164	0.3580168799
165	0.3569850057
166	0.3562784534
167	0.354213605
168	0.3520476709
169	0.3504073693
170	0.3491363613
171	0.3477823567
172	0.346546276
173	0.3455533835
174	0.3439123486
175	0.3431460963
176	0.3410835952
177	0.3399682628
178	0.3391948787
179	0.3381255833
180	0.3366661287
181	0.3354370987
182	0.3340047146
183	0.3326909583
184	0.3302581344
185	0.3288727766
186	0.3281608529
187	0.3271082981
188	0.3258119871
189	0.3244223804
190	0.323537429
191	0.3225670117
192	0.3214602359
193	0.3210078338
194	0.3192757046
195	0.3175628549
196	0.316475401
197	0.3157030875
198	0.3145130349
199	0.3135260519
200	0.3125468355
201	0.3117559042
202	0.3098456283
203	0.308735988
204	0.3074529362
205	0.3064288365
206	0.3058257722
207	0.3041643166
208	0.3034591171
209	0.3017256925
210	0.3004941675
211	0.2987865908
212	0.2974530714
213	0.296276971
214	0.2951594139
