iter	Passed	Remaining
0	63	63011
1	68	34226
2	73	24508
3	78	19560
4	83	16536
5	87	14472
6	92	13139
7	96	12026
8	101	11153
9	105	10465
10	110	9921
11	114	9463
12	119	9054
13	123	8721
14	128	8414
15	132	8148
16	136	7905
17	141	7707
18	145	7532
19	150	7389
20	155	7238
21	159	7104
22	164	6980
23	168	6863
24	173	6756
25	177	6667
26	182	6570
27	187	6495
28	191	6416
29	195	6334
30	200	6255
31	204	6186
32	209	6125
33	213	6074
34	218	6017
35	222	5971
36	227	5912
37	231	5862
38	235	5811
39	240	5766
40	244	5727
41	249	5689
42	254	5656
43	258	5617
44	262	5577
45	266	5533
46	271	5506
47	276	5477
48	280	5445
49	285	5419
50	290	5398
51	295	5380
52	299	5356
53	304	5338
54	309	5312
55	313	5288
56	318	5266
57	323	5248
58	327	5230
59	332	5211
60	337	5196
61	342	5180
62	346	5159
63	351	5141
64	356	5127
65	361	5108
66	365	5089
67	370	5074
68	374	5056
69	379	5042
70	384	5029
71	389	5014
72	393	4999
73	398	4986
74	402	4968
75	407	4955
76	412	4942
77	416	4928
78	422	4920
79	426	4906
80	431	4891
81	436	4881
82	440	4868
83	445	4856
84	450	4846
85	454	4834
86	459	4826
87	464	4817
88	469	4808
89	475	4804
90	480	4798
91	486	4799
92	491	4791
93	496	4780
94	501	4776
95	506	4770
96	511	4758
97	515	4747
98	520	4739
99	525	4726
100	529	4717
101	536	4724
102	541	4717
103	546	4707
104	551	4701
105	556	4693
106	561	4683
107	566	4677
108	571	4669
109	576	4662
110	581	4656
111	586	4651
112	591	4643
113	596	4636
114	601	4630
115	607	4626
116	612	4621
117	617	4613
118	622	4606
119	627	4599
120	632	4594
121	637	4587
122	642	4579
123	647	4571
124	652	4565
125	657	4559
126	662	4552
127	667	4544
128	672	4538
129	677	4531
130	682	4525
131	687	4520
132	693	4520
133	698	4513
134	703	4508
135	708	4502
136	713	4495
137	718	4489
138	723	4483
139	728	4477
140	734	4473
141	739	4467
142	744	4461
143	749	4455
144	755	4454
145	760	4449
146	765	4442
147	770	4435
148	775	4429
149	780	4422
150	785	4416
151	790	4410
152	795	4404
153	800	4398
154	805	4392
155	810	4387
156	815	4380
157	821	4375
158	826	4369
159	830	4362
160	835	4356
161	841	4351
162	846	4345
163	851	4340
164	856	4334
165	861	4328
166	866	4322
167	871	4316
168	876	4310
169	881	4306
170	887	4302
171	892	4296
172	897	4289
173	902	4284
174	908	4280
175	913	4275
176	918	4271
177	923	4265
178	928	4260
179	933	4254
180	939	4249
181	944	4244
182	949	4239
183	954	4232
184	959	4227
185	964	4222
186	969	4216
187	975	4211
188	979	4204
189	985	4199
190	990	4193
191	995	4187
192	1000	4183
193	1005	4178
194	1010	4171
195	1015	4165
196	1020	4160
197	1025	4155
198	1030	4149
199	1035	4143
200	1041	4139
201	1047	4136
202	1052	4133
203	1058	4129
204	1063	4123
205	1068	4118
206	1073	4113
207	1078	4108
208	1083	4102
209	1088	4096
210	1093	4090
211	1099	4086
212	1104	4081
213	1109	4075
214	1115	4071
215	1120	4066
216	1125	4060
217	1130	4056
218	1135	4051
219	1140	4045
220	1145	4039
221	1159	4063
222	1165	4059
223	1170	4054
224	1175	4049
225	1181	4047
226	1188	4045
227	1193	4039
228	1198	4034
229	1203	4028
230	1208	4023
231	1213	4018
232	1218	4012
233	1223	4006
234	1228	3999
235	1233	3994
236	1238	3988
237	1244	3983
238	1249	3978
239	1254	3972
240	1259	3968
241	1265	3963
242	1270	3958
243	1275	3951
244	1280	3946
245	1285	3939
246	1290	3934
247	1295	3929
248	1301	3924
249	1306	3918
250	1311	3913
251	1316	3908
252	1321	3902
253	1326	3896
254	1331	3890
255	1336	3885
256	1341	3879
257	1349	3880
258	1354	3874
259	1359	3868
260	1364	3863
261	1369	3858
262	1374	3852
263	1380	3848
264	1385	3843
265	1390	3838
266	1396	3832
267	1401	3826
268	1405	3820
269	1411	3815
270	1416	3809
271	1421	3804
272	1426	3799
273	1432	3794
274	1437	3788
275	1442	3783
276	1447	3778
277	1454	3776
278	1459	3772
279	1465	3768
280	1470	3762
281	1475	3757
282	1480	3752
283	1485	3746
284	1491	3740
285	1495	3734
286	1500	3728
287	1506	3723
288	1511	3717
289	1516	3713
290	1521	3707
291	1526	3702
292	1532	3697
293	1537	3691
294	1542	3686
295	1547	3681
296	1552	3674
297	1557	3668
298	1562	3662
299	1566	3655
300	1572	3651
301	1577	3646
302	1582	3641
303	1588	3635
304	1593	3630
305	1598	3624
306	1602	3617
307	1608	3613
308	1613	3608
309	1618	3602
310	1623	3597
311	1628	3591
312	1634	3587
313	1639	3582
314	1644	3576
315	1649	3571
316	1654	3565
317	1660	3560
318	1665	3555
319	1670	3549
320	1676	3545
321	1681	3540
322	1686	3534
323	1691	3530
324	1697	3525
325	1703	3521
326	1708	3515
327	1713	3511
328	1719	3505
329	1724	3501
330	1729	3496
331	1734	3490
332	1739	3484
333	1745	3479
334	1750	3473
335	1755	3468
336	1760	3463
337	1765	3458
338	1771	3453
339	1776	3448
340	1781	3443
341	1787	3438
342	1792	3432
343	1797	3427
344	1801	3420
345	1806	3414
346	1811	3409
347	1816	3403
348	1821	3397
349	1826	3392
350	1831	3387
351	1837	3382
352	1842	3376
353	1847	3371
354	1852	3366
355	1857	3360
356	1863	3356
357	1868	3351
358	1874	3346
359	1879	3341
360	1884	3335
361	1889	3330
362	1894	3325
363	1899	3319
364	1905	3314
365	1910	3309
366	1915	3304
367	1920	3298
368	1926	3293
369	1931	3288
370	1936	3282
371	1941	3277
372	1947	3273
373	1952	3267
374	1957	3261
375	1962	3256
376	1967	3250
377	1972	3244
378	1977	3239
379	1982	3234
380	1987	3229
381	1993	3224
382	1998	3220
383	2004	3215
384	2010	3211
385	2016	3207
386	2021	3202
387	2028	3200
388	2034	3196
389	2040	3192
390	2045	3186
391	2050	3180
392	2055	3175
393	2061	3170
394	2066	3164
395	2071	3159
396	2076	3154
397	2082	3149
398	2087	3144
399	2093	3139
400	2098	3134
401	2103	3129
402	2109	3124
403	2114	3119
404	2119	3114
405	2124	3108
406	2130	3103
407	2136	3100
408	2142	3095
409	2147	3090
410	2152	3084
411	2157	3079
412	2163	3074
413	2168	3069
414	2173	3063
415	2178	3058
416	2184	3053
417	2189	3048
418	2194	3043
419	2199	3037
420	2205	3032
421	2210	3028
422	2216	3023
423	2221	3017
424	2226	3011
425	2231	3006
426	2236	3001
427	2242	2996
428	2247	2991
429	2252	2985
430	2257	2980
431	2263	2975
432	2268	2969
433	2273	2964
434	2277	2958
435	2282	2953
436	2288	2948
437	2293	2943
438	2299	2938
439	2304	2932
440	2309	2927
441	2314	2922
442	2319	2916
443	2325	2911
444	2329	2905
445	2334	2900
446	2339	2894
447	2344	2889
448	2349	2883
449	2354	2877
450	2359	2872
451	2365	2867
452	2369	2861
453	2375	2856
454	2380	2850
455	2385	2845
456	2390	2839
457	2394	2833
458	2399	2828
459	2405	2823
460	2410	2818
461	2415	2813
462	2421	2808
463	2427	2803
464	2432	2799
465	2438	2794
466	2443	2788
467	2448	2783
468	2452	2777
469	2458	2772
470	2464	2767
471	2469	2762
472	2474	2757
473	2480	2752
474	2485	2747
475	2490	2742
476	2495	2736
477	2500	2731
478	2506	2726
479	2511	2720
480	2516	2714
481	2520	2709
482	2526	2704
483	2532	2699
484	2541	2698
485	2548	2695
486	2554	2690
487	2560	2685
488	2565	2680
489	2570	2675
490	2576	2670
491	2581	2665
492	2586	2660
493	2592	2655
494	2596	2649
495	2601	2643
496	2607	2638
497	2612	2633
498	2617	2628
499	2623	2623
500	2628	2617
501	2633	2612
502	2638	2607
503	2643	2601
504	2649	2596
505	2654	2591
506	2659	2585
507	2664	2580
508	2670	2575
509	2675	2570
510	2680	2565
511	2686	2560
512	2691	2554
513	2696	2549
514	2701	2544
515	2707	2539
