Model,Interaction_Term,Score
Random Forest,PolygenicScoreEXT_x_Age,0.625857446562072
Random Forest,PolygenicScoreEXT_x_DelinquentPeer,0.6213429154726515
Random Forest,PolygenicScoreEXT_x_SchoolConnect,0.627287659299951
Random Forest,PolygenicScoreEXT_x_NeighborConnect,0.6254817902254589
Random Forest,PolygenicScoreEXT_x_ParentalWarmth,0.6273625640123779
Random Forest,PolygenicScoreEXT_x_Is_Male,0.6236000818995947
Random Forest,Age_x_DelinquentPeer,0.621793872992759
Random Forest,Age_x_SchoolConnect,0.6306739470082435
Random Forest,Age_x_NeighborConnect,0.6262346887829555
Random Forest,Age_x_ParentalWarmth,0.6315016370007189
Random Forest,Age_x_Is_Male,0.6236760910671386
Random Forest,DelinquentPeer_x_SchoolConnect,0.6216435538193898
Random Forest,DelinquentPeer_x_NeighborConnect,0.6222464730358611
Random Forest,DelinquentPeer_x_ParentalWarmth,0.6200634466985713
Random Forest,DelinquentPeer_x_Is_Male,0.6212679824408628
Random Forest,SchoolConnect_x_NeighborConnect,0.6301474900691078
Random Forest,SchoolConnect_x_ParentalWarmth,0.6278145693488785
Random Forest,SchoolConnect_x_Is_Male,0.6279652283545913
Random Forest,NeighborConnect_x_ParentalWarmth,0.628943265839798
Random Forest,NeighborConnect_x_Is_Male,0.6272883672840005
Random Forest,ParentalWarmth_x_Is_Male,0.628943265839798
Gradient Boosting,PolygenicScoreEXT_x_Age,0.5801077721639363
Gradient Boosting,PolygenicScoreEXT_x_DelinquentPeer,0.5798067090267682
Gradient Boosting,PolygenicScoreEXT_x_SchoolConnect,0.577624164118632
Gradient Boosting,PolygenicScoreEXT_x_NeighborConnect,0.5825161356644699
Gradient Boosting,PolygenicScoreEXT_x_ParentalWarmth,0.5784522789015373
Gradient Boosting,PolygenicScoreEXT_x_Is_Male,0.5806342291030719
Gradient Boosting,Age_x_DelinquentPeer,0.580935263920878
Gradient Boosting,Age_x_SchoolConnect,0.5787532570806192
Gradient Boosting,Age_x_NeighborConnect,0.579731266246464
Gradient Boosting,Age_x_ParentalWarmth,0.582139346553378
Gradient Boosting,Age_x_Is_Male,0.5824406645648036
Gradient Boosting,DelinquentPeer_x_SchoolConnect,0.5792049509041381
Gradient Boosting,DelinquentPeer_x_NeighborConnect,0.5786023998393726
Gradient Boosting,DelinquentPeer_x_ParentalWarmth,0.5801829317506207
Gradient Boosting,DelinquentPeer_x_Is_Male,0.5807098701189102
Gradient Boosting,SchoolConnect_x_NeighborConnect,0.5804087786623803
Gradient Boosting,SchoolConnect_x_ParentalWarmth,0.5807854261766623
Gradient Boosting,SchoolConnect_x_Is_Male,0.5816128612948801
Gradient Boosting,NeighborConnect_x_ParentalWarmth,0.5814625421215109
Gradient Boosting,NeighborConnect_x_Is_Male,0.5816880208815648
Gradient Boosting,ParentalWarmth_x_Is_Male,0.581011046533526
Logistic Regression,PolygenicScoreEXT_x_Age,0.5019188633287767
Logistic Regression,PolygenicScoreEXT_x_DelinquentPeer,0.5016930164170174
Logistic Regression,PolygenicScoreEXT_x_SchoolConnect,0.5021444836856405
Logistic Regression,PolygenicScoreEXT_x_NeighborConnect,0.5027464966825284
Logistic Regression,PolygenicScoreEXT_x_ParentalWarmth,0.5023703305973998
Logistic Regression,PolygenicScoreEXT_x_Is_Male,0.5004138874752807
Logistic Regression,Age_x_DelinquentPeer,0.5034991403657672
Logistic Regression,Age_x_SchoolConnect,0.5022200963821165
Logistic Regression,Age_x_NeighborConnect,0.5022196999110489
Logistic Regression,Age_x_ParentalWarmth,0.5016177435528848
Logistic Regression,Age_x_Is_Male,0.5021443420888305
Logistic Regression,DelinquentPeer_x_SchoolConnect,0.5029722303168398
Logistic Regression,DelinquentPeer_x_NeighborConnect,0.5020692674602317
Logistic Regression,DelinquentPeer_x_ParentalWarmth,0.5008651848277319
Logistic Regression,DelinquentPeer_x_Is_Male,0.5045525073538303
Logistic Regression,SchoolConnect_x_NeighborConnect,0.5016931580138271
Logistic Regression,SchoolConnect_x_ParentalWarmth,0.5024455468228084
Logistic Regression,SchoolConnect_x_Is_Male,0.5023703022780378
Logistic Regression,NeighborConnect_x_ParentalWarmth,0.5015424706887524
Logistic Regression,NeighborConnect_x_Is_Male,0.5004140290720906
Logistic Regression,ParentalWarmth_x_Is_Male,0.5011665877972435
SVC,PolygenicScoreEXT_x_Age,0.5074115168614898
SVC,PolygenicScoreEXT_x_DelinquentPeer,0.5085401283943234
SVC,PolygenicScoreEXT_x_SchoolConnect,0.5100450192897334
SVC,PolygenicScoreEXT_x_NeighborConnect,0.5098950965874318
SVC,PolygenicScoreEXT_x_ParentalWarmth,0.5088410782540433
SVC,PolygenicScoreEXT_x_Is_Male,0.5101202638345039
SVC,Age_x_DelinquentPeer,0.511023255010474
SVC,Age_x_SchoolConnect,0.5088408800185096
SVC,Age_x_NeighborConnect,0.510948463575495
SVC,Age_x_ParentalWarmth,0.510421128736138
SVC,Age_x_Is_Male,0.5105715895063171
SVC,DelinquentPeer_x_SchoolConnect,0.5098187759069064
SVC,DelinquentPeer_x_NeighborConnect,0.511324063273384
SVC,DelinquentPeer_x_ParentalWarmth,0.510120150557056
SVC,DelinquentPeer_x_Is_Male,0.510421100416776
SVC,SchoolConnect_x_NeighborConnect,0.5111739989742727
SVC,SchoolConnect_x_ParentalWarmth,0.5114748072371829
SVC,SchoolConnect_x_Is_Male,0.5107975780148862
SVC,NeighborConnect_x_ParentalWarmth,0.508765635473739
SVC,NeighborConnect_x_Is_Male,0.5120016889667482
SVC,ParentalWarmth_x_Is_Male,0.5108727942402949
KNN,PolygenicScoreEXT_x_Age,0.552411577748118
KNN,PolygenicScoreEXT_x_DelinquentPeer,0.5597860812035049
KNN,PolygenicScoreEXT_x_SchoolConnect,0.5514335402629114
KNN,PolygenicScoreEXT_x_NeighborConnect,0.5522611169779389
KNN,PolygenicScoreEXT_x_ParentalWarmth,0.553239890766557
KNN,PolygenicScoreEXT_x_Is_Male,0.5539917698270225
KNN,Age_x_DelinquentPeer,0.5518849225734483
KNN,Age_x_SchoolConnect,0.553916298727356
KNN,Age_x_NeighborConnect,0.5486487841223533
KNN,Age_x_ParentalWarmth,0.5492507971192413
KNN,Age_x_Is_Male,0.5577543085785294
KNN,DelinquentPeer_x_SchoolConnect,0.553916525282252
KNN,DelinquentPeer_x_NeighborConnect,0.5547445267877092
KNN,DelinquentPeer_x_ParentalWarmth,0.5567757047060833
KNN,DelinquentPeer_x_Is_Male,0.5540667878168972
KNN,SchoolConnect_x_NeighborConnect,0.5527127258433719
KNN,SchoolConnect_x_ParentalWarmth,0.5522608621036811
KNN,SchoolConnect_x_Is_Male,0.5526371414662576
KNN,NeighborConnect_x_ParentalWarmth,0.5557978937757724
KNN,NeighborConnect_x_Is_Male,0.5551961073337802
KNN,ParentalWarmth_x_Is_Male,0.5547443851908994
Decision Tree,PolygenicScoreEXT_x_Age,0.5123066318565069
Decision Tree,PolygenicScoreEXT_x_DelinquentPeer,0.511478148921896
Decision Tree,PolygenicScoreEXT_x_SchoolConnect,0.5146398357703561
Decision Tree,PolygenicScoreEXT_x_NeighborConnect,0.5137359950135267
Decision Tree,PolygenicScoreEXT_x_ParentalWarmth,0.5155430535012219
Decision Tree,PolygenicScoreEXT_x_Is_Male,0.5109517486214843
Decision Tree,Age_x_DelinquentPeer,0.5100487291261523
Decision Tree,Age_x_SchoolConnect,0.5153169233958427
Decision Tree,Age_x_NeighborConnect,0.5070388340578842
Decision Tree,Age_x_ParentalWarmth,0.5231422144551653
Decision Tree,Age_x_Is_Male,0.5194552317614105
Decision Tree,DelinquentPeer_x_SchoolConnect,0.5131346333619643
Decision Tree,DelinquentPeer_x_NeighborConnect,0.5129833230109259
Decision Tree,DelinquentPeer_x_ParentalWarmth,0.5116292043986765
Decision Tree,DelinquentPeer_x_Is_Male,0.5135106578502829
Decision Tree,SchoolConnect_x_NeighborConnect,0.5149405024364564
Decision Tree,SchoolConnect_x_ParentalWarmth,0.5099732863458479
Decision Tree,SchoolConnect_x_Is_Male,0.5132845277449036
Decision Tree,NeighborConnect_x_ParentalWarmth,0.5230672247846525
Decision Tree,NeighborConnect_x_Is_Male,0.5128334003086245
Decision Tree,ParentalWarmth_x_Is_Male,0.5119296728292431
AdaBoost,PolygenicScoreEXT_x_Age,0.5291608434978603
AdaBoost,PolygenicScoreEXT_x_DelinquentPeer,0.5284085962856891
AdaBoost,PolygenicScoreEXT_x_SchoolConnect,0.5296129054730849
AdaBoost,PolygenicScoreEXT_x_NeighborConnect,0.5270541944798202
AdaBoost,PolygenicScoreEXT_x_ParentalWarmth,0.5299888166839557
AdaBoost,PolygenicScoreEXT_x_Is_Male,0.5261511466651261
AdaBoost,Age_x_DelinquentPeer,0.5303649261303602
AdaBoost,Age_x_SchoolConnect,0.5261508351521443
AdaBoost,Age_x_NeighborConnect,0.5295372361378847
AdaBoost,Age_x_ParentalWarmth,0.5299888166839557
AdaBoost,Age_x_Is_Male,0.5267530747039282
AdaBoost,DelinquentPeer_x_SchoolConnect,0.5253233150758406
AdaBoost,DelinquentPeer_x_NeighborConnect,0.5281068251644717
AdaBoost,DelinquentPeer_x_ParentalWarmth,0.528859129015367
AdaBoost,DelinquentPeer_x_Is_Male,0.5308165916345171
AdaBoost,SchoolConnect_x_NeighborConnect,0.5287094611873233
AdaBoost,SchoolConnect_x_ParentalWarmth,0.5257741876378622
AdaBoost,SchoolConnect_x_Is_Male,0.5292364845136985
AdaBoost,NeighborConnect_x_ParentalWarmth,0.530666102544976
AdaBoost,NeighborConnect_x_Is_Male,0.528784450857836
AdaBoost,ParentalWarmth_x_Is_Male,0.5315690087628602
Extra Trees,PolygenicScoreEXT_x_Age,0.6421106930229306
Extra Trees,PolygenicScoreEXT_x_DelinquentPeer,0.6399288277794817
Extra Trees,PolygenicScoreEXT_x_SchoolConnect,0.6421104381486727
Extra Trees,PolygenicScoreEXT_x_NeighborConnect,0.6436908001437491
Extra Trees,PolygenicScoreEXT_x_ParentalWarmth,0.640831450803746
Extra Trees,PolygenicScoreEXT_x_Is_Male,0.6409067519872405
Extra Trees,Age_x_DelinquentPeer,0.6371451760940406
Extra Trees,Age_x_SchoolConnect,0.6447442520898982
Extra Trees,Age_x_NeighborConnect,0.6414340868265975
Extra Trees,Age_x_ParentalWarmth,0.6429387511671119
Extra Trees,Age_x_Is_Male,0.6400789770366788
Extra Trees,DelinquentPeer_x_SchoolConnect,0.6407564894525952
Extra Trees,DelinquentPeer_x_NeighborConnect,0.6364669556940751
Extra Trees,DelinquentPeer_x_ParentalWarmth,0.63721940114178
Extra Trees,DelinquentPeer_x_Is_Male,0.6372199675290195
Extra Trees,SchoolConnect_x_NeighborConnect,0.6409825629192504
Extra Trees,SchoolConnect_x_ParentalWarmth,0.6434650665094377
Extra Trees,SchoolConnect_x_Is_Male,0.6453466898772157
Extra Trees,NeighborConnect_x_ParentalWarmth,0.6403800968125708
Extra Trees,NeighborConnect_x_Is_Male,0.6448198647863743
Extra Trees,ParentalWarmth_x_Is_Male,0.6416591124768596
XGBoost,PolygenicScoreEXT_x_Age,0.5992985577232139
XGBoost,PolygenicScoreEXT_x_DelinquentPeer,0.5978687980951264
XGBoost,PolygenicScoreEXT_x_SchoolConnect,0.597943844404363
XGBoost,PolygenicScoreEXT_x_NeighborConnect,0.5987719025485443
XGBoost,PolygenicScoreEXT_x_ParentalWarmth,0.5998255244108652
XGBoost,PolygenicScoreEXT_x_Is_Male,0.5932029849740298
XGBoost,Age_x_DelinquentPeer,0.5992231715816334
XGBoost,Age_x_SchoolConnect,0.5990723709791108
XGBoost,Age_x_NeighborConnect,0.5964387552734192
XGBoost,Age_x_ParentalWarmth,0.5985452343752876
XGBoost,Age_x_Is_Male,0.6037379009065877
XGBoost,DelinquentPeer_x_SchoolConnect,0.5937303764521107
XGBoost,DelinquentPeer_x_NeighborConnect,0.5983199255314057
XGBoost,DelinquentPeer_x_ParentalWarmth,0.5953101154212236
XGBoost,DelinquentPeer_x_Is_Male,0.5961380886073189
XGBoost,SchoolConnect_x_NeighborConnect,0.6017061566009743
XGBoost,SchoolConnect_x_ParentalWarmth,0.5956858567159226
XGBoost,SchoolConnect_x_Is_Male,0.6008035335767099
XGBoost,NeighborConnect_x_ParentalWarmth,0.6001260777995177
XGBoost,NeighborConnect_x_Is_Male,0.599449018493393
XGBoost,ParentalWarmth_x_Is_Male,0.5979435895301053
LightGBM,PolygenicScoreEXT_x_Age,0.5959120151406636
LightGBM,PolygenicScoreEXT_x_DelinquentPeer,0.5968897977516125
LightGBM,PolygenicScoreEXT_x_SchoolConnect,0.5969653538093648
LightGBM,PolygenicScoreEXT_x_NeighborConnect,0.5962878130740866
LightGBM,PolygenicScoreEXT_x_ParentalWarmth,0.5992980479746983
LightGBM,PolygenicScoreEXT_x_Is_Male,0.5944061897063084
LightGBM,Age_x_DelinquentPeer,0.5970404567573253
LightGBM,Age_x_SchoolConnect,0.5962876714772767
LightGBM,Age_x_NeighborConnect,0.5961370691102876
LightGBM,Age_x_ParentalWarmth,0.5985455175689074
LightGBM,Age_x_Is_Male,0.5969649290189352
LightGBM,DelinquentPeer_x_SchoolConnect,0.5955353676263816
LightGBM,DelinquentPeer_x_NeighborConnect,0.5963632558543909
LightGBM,DelinquentPeer_x_ParentalWarmth,0.5983946603276608
LightGBM,DelinquentPeer_x_Is_Male,0.5989970131568925
LightGBM,SchoolConnect_x_NeighborConnect,0.5928264507371954
LightGBM,SchoolConnect_x_ParentalWarmth,0.5983952267149002
LightGBM,SchoolConnect_x_Is_Male,0.5998243916363862
LightGBM,NeighborConnect_x_ParentalWarmth,0.5963634540899247
LightGBM,NeighborConnect_x_Is_Male,0.5953094074371743
LightGBM,ParentalWarmth_x_Is_Male,0.5975671685707189
