From,To,Weight,P-value
PolygenicScoreEXT,AntisocialTrajectory,-0.10,3.2092143543990025e-13
PolygenicScoreEXT,Age,-0.02,0.002789016738068624
PolygenicScoreEXT,DelinquentPeer,-0.07,1.4439859542174106e-19
PolygenicScoreEXT,SchoolConnect,0.04,1.7339761750828164e-05
PolygenicScoreEXT,SubstanceUseTrajectory,-0.11,4.4269842409786816e-24
PolygenicScoreEXT,Is_Male,-0.09,1.0891321833270797e-43
PolygenicScoreEXT,PolygenicScoreEXT_x_Is_Male,47.63,0.0
PolygenicScoreEXT,PolygenicScoreEXT_x_Age,-0.23,6.150077869085487e-60
PolygenicScoreEXT,InFamilyCluster,0.01,0.008432687117125678
AntisocialTrajectory,Age,0.09,1.394455171671195e-91
AntisocialTrajectory,DelinquentPeer,0.17,2.230032971721661e-273
AntisocialTrajectory,SchoolConnect,0.04,4.570855748136818e-11
AntisocialTrajectory,NeighborConnect,0.02,0.0005038641567804139
AntisocialTrajectory,ParentalWarmth,0.05,6.943327886797446e-20
AntisocialTrajectory,SubstanceUseTrajectory,0.21,9.664712497565576e-203
AntisocialTrajectory,Is_Male,-0.15,3.162867301515795e-275
AntisocialTrajectory,PolygenicScoreEXT_x_Age,0.05,4.431377560377395e-07
AntisocialTrajectory,InFamilyCluster,0.05,1.6638732900130125e-71
Age,DelinquentPeer,-0.28,9.727420607592023e-221
Age,SchoolConnect,-0.06,1.8296160161069117e-08
Age,NeighborConnect,-0.08,5.512910664001767e-17
Age,ParentalWarmth,-0.04,3.526982287977034e-05
Age,SubstanceUseTrajectory,0.09,1.8995733557775268e-13
Age,Is_Male,0.12,8.258475170252997e-60
Age,PolygenicScoreEXT_x_Is_Male,-1.72,0.0027065158371816565
Age,PolygenicScoreEXT_x_Age,0.10,1.8899377594725654e-09
Age,InFamilyCluster,0.01,0.010237158192865527
DelinquentPeer,SchoolConnect,0.16,2.9699091066800053e-56
DelinquentPeer,NeighborConnect,-0.06,1.6721778076686038e-12
DelinquentPeer,ParentalWarmth,0.21,3.5667191255804674e-134
DelinquentPeer,SubstanceUseTrajectory,0.28,3.252937796240456e-134
DelinquentPeer,Is_Male,0.04,2.415612962935399e-07
DelinquentPeer,PolygenicScoreEXT_x_Is_Male,4.76,1.4337439744919014e-19
DelinquentPeer,PolygenicScoreEXT_x_Age,-0.14,1.4065463773601288e-19
DelinquentPeer,InFamilyCluster,0.02,2.6459971538232914e-06
SchoolConnect,NeighborConnect,0.23,2.6957706027930137e-224
SchoolConnect,ParentalWarmth,0.18,2.518772928369644e-137
SchoolConnect,SubstanceUseTrajectory,0.12,4.305861135759169e-34
SchoolConnect,Is_Male,-0.02,0.001463799448421032
SchoolConnect,PolygenicScoreEXT_x_Is_Male,-3.20,2.1115765649855994e-13
SchoolConnect,PolygenicScoreEXT_x_Age,-0.03,0.009527092135010155
NeighborConnect,ParentalWarmth,0.10,1.0818751552012664e-33
NeighborConnect,SubstanceUseTrajectory,0.03,0.009186839421728802
ParentalWarmth,SubstanceUseTrajectory,-0.04,0.0002945483795081362
ParentalWarmth,Is_Male,0.05,2.5539603541726003e-13
ParentalWarmth,PolygenicScoreEXT_x_Age,0.19,2.0873424423981797e-36
ParentalWarmth,InFamilyCluster,-0.01,0.006926090000129097
SubstanceUseTrajectory,PolygenicScoreEXT_x_Is_Male,0.91,0.016862935307974572
SubstanceUseTrajectory,PolygenicScoreEXT_x_Age,0.06,3.014257342247932e-07
SubstanceUseTrajectory,InFamilyCluster,0.01,0.03178729733916967
Is_Male,PolygenicScoreEXT_x_Is_Male,8.49,4.370876578225067e-41
Is_Male,PolygenicScoreEXT_x_Age,-0.07,0.00012887792004908025
PolygenicScoreEXT_x_Age,PolygenicScoreEXT_x_Is_Male,0.00,0.0007334727909256827
InFamilyCluster,PolygenicScoreEXT_x_Is_Male,-0.00,0.02018391657295863
